"duration";"amount";"credits_mean";"withdrawals_mean";"average_balance_monthly";"payment_monthly";"gender";"client_age";"district_id";"last_balance";"district_average_salary";"district_unemployment_rate";"enterpreneur_ratio";"status";"account_id";"cluster"
12.0;65184.0;17449.11;11350.61;39497.44;5432.0;0.0;36.0;3.0;67995.4;8980.0;2.21;0.111;"1";5891.0;"cluster_1"
36.0;215388.0;3560.97;6100.0;27495.15;5983.0;0.0;34.0;39.0;30662.8;10446.0;9.4;0.09;"-1";10131.0;"cluster_3"
60.0;89040.0;3783.75;3496.41;32505.99;1484.0;1.0;24.0;77.0;29305.8;8909.0;5.56;0.113;"1";8321.0;"cluster_3"
36.0;193968.0;11856.92;25080.0;40956.34;5388.0;0.0;21.0;72.0;80780.0;8994.0;4.79;0.11;"1";5256.0;"cluster_1"
12.0;24312.0;5833.88;4490.51;27954.76;2026.0;1.0;38.0;16.0;28461.9;8427.0;1.54;0.107;"1";813.0;"cluster_3"
60.0;272520.0;10868.5;8367.42;37865.22;4542.0;0.0;54.0;10.0;30009.9;10124.0;0.54;0.141;"1";2933.0;"cluster_0"
12.0;80340.0;20754.59;15632.37;64330.72;6695.0;1.0;18.0;1.0;89342.6;12541.0;0.43;0.167;"1";8173.0;"cluster_0"
12.0;97632.0;25690.01;16819.77;36765.79;8136.0;1.0;25.0;21.0;41330.1;9104.0;2.07;0.123;"1";9833.0;"cluster_1"
48.0;196080.0;13644.22;8508.29;59177.11;4085.0;0.0;35.0;23.0;86857.4;8624.0;2.66;0.102;"1";7769.0;"cluster_1"
12.0;76908.0;13502.92;11855.57;44282.31;6409.0;1.0;48.0;4.0;14888.6;9753.0;5.05;0.109;"-1";6473.0;"cluster_1"
48.0;63312.0;2591.1;1643.73;22098.31;1319.0;1.0;38.0;31.0;28553.5;8930.0;4.2;0.108;"1";7454.0;"cluster_3"
24.0;25944.0;13355.0;10455.29;60904.73;1081.0;1.0;34.0;41.0;69398.9;9832.0;4.48;0.114;"1";6930.0;"cluster_1"
12.0;104808.0;9389.93;7510.25;28867.14;8734.0;0.0;54.0;66.0;28015.4;8512.0;4.12;0.102;"1";173.0;"cluster_3"
48.0;208320.0;12645.23;8973.77;38254.94;4340.0;1.0;26.0;31.0;44183.1;8930.0;4.2;0.108;"1";8051.0;"cluster_2"
24.0;151560.0;17718.52;21186.71;39556.25;6315.0;0.0;41.0;66.0;21323.2;8512.0;4.12;0.102;"1";10439.0;"cluster_1"
24.0;52128.0;5527.32;6757.93;39199.28;2172.0;1.0;34.0;11.0;58844.8;9622.0;0.59;0.154;"1";9337.0;"cluster_0"
36.0;300204.0;9474.32;6066.66;37708.64;8339.0;0.0;30.0;57.0;33947.4;8720.0;4.5;0.116;"1";4576.0;"cluster_2"
12.0;77640.0;18185.17;11625.6;53176.03;6470.0;0.0;26.0;27.0;30825.8;8561.0;1.29;0.11;"1";8027.0;"cluster_1"
48.0;87216.0;3321.03;5612.63;23813.64;1817.0;0.0;30.0;15.0;21705.9;9045.0;3.6;0.124;"-1";5927.0;"cluster_3"
24.0;87360.0;6260.68;8341.84;32050.23;3640.0;0.0;31.0;38.0;29057.9;8965.0;8.23;0.104;"1";6273.0;"cluster_3"
48.0;69360.0;6794.69;4617.24;29249.9;1445.0;0.0;52.0;46.0;38665.0;8369.0;2.31;0.117;"1";11065.0;"cluster_3"
60.0;288360.0;7270.87;10600.0;21732.53;4806.0;0.0;58.0;1.0;43450.3;12541.0;0.43;0.167;"1";8558.0;"cluster_0"
24.0;174744.0;10801.31;5604.46;26880.99;7281.0;1.0;15.0;5.0;6930.8;9307.0;4.43;0.118;"-1";5442.0;"cluster_3"
60.0;239460.0;13860.05;10247.34;34306.82;3991.0;1.0;51.0;68.0;36240.6;9893.0;4.72;0.096;"1";1811.0;"cluster_2"
24.0;91584.0;19148.2;17343.63;38021.53;3816.0;1.0;42.0;33.0;49842.9;8705.0;7.61;0.116;"1";7844.0;"cluster_1"
60.0;244560.0;13601.44;13105.11;30576.73;4076.0;1.0;26.0;58.0;21326.1;8757.0;3.95;0.096;"1";4260.0;"cluster_2"
12.0;4980.0;5088.19;3991.28;30099.26;415.0;1.0;41.0;63.0;22500.3;8288.0;4.52;0.11;"1";3354.0;"cluster_3"
24.0;111384.0;18730.57;12057.49;67232.02;4641.0;0.0;27.0;11.0;52318.9;9622.0;0.59;0.154;"1";2762.0;"cluster_1"
36.0;276660.0;3574.42;3551.01;18984.18;7685.0;0.0;45.0;56.0;19783.2;8772.0;4.98;0.126;"-1";6051.0;"cluster_3"
12.0;39576.0;7690.46;8558.35;47221.11;3298.0;1.0;14.0;32.0;23901.1;9272.0;3.22;0.118;"1";9265.0;"cluster_3"
24.0;173808.0;26795.32;15302.46;48909.3;7242.0;1.0;37.0;77.0;94431.9;8909.0;5.56;0.113;"1";5228.0;"cluster_1"
60.0;50460.0;8401.34;6233.49;30491.88;841.0;1.0;46.0;11.0;41531.0;9622.0;0.59;0.154;"1";2824.0;"cluster_0"
60.0;252060.0;13679.98;9273.58;42472.8;4201.0;1.0;28.0;60.0;70096.5;8441.0;4.48;0.115;"-1";426.0;"cluster_2"
24.0;143904.0;12521.29;7120.44;49632.98;5996.0;0.0;43.0;50.0;38336.2;8187.0;5.45;0.094;"1";4937.0;"cluster_1"
48.0;208128.0;9966.55;8718.1;39478.94;4336.0;0.0;42.0;54.0;81474.6;9897.0;1.96;0.14;"-1";790.0;"cluster_2"
36.0;131292.0;11845.01;7726.38;31011.81;3647.0;0.0;40.0;1.0;31361.3;12541.0;0.43;0.167;"1";10911.0;"cluster_0"
36.0;74736.0;11155.88;7437.22;33463.3;2076.0;0.0;28.0;45.0;33243.7;8390.0;2.89;0.132;"1";8129.0;"cluster_3"
36.0;299088.0;16196.65;8774.29;47283.34;8308.0;1.0;27.0;67.0;19448.5;8110.0;6.55;0.109;"-1";2176.0;"cluster_2"
60.0;189300.0;6288.11;6057.86;26513.34;3155.0;0.0;40.0;58.0;24552.0;8757.0;3.95;0.096;"1";9093.0;"cluster_3"
12.0;14628.0;8060.43;4483.95;30701.46;1219.0;1.0;45.0;55.0;34917.4;8743.0;2.43;0.111;"1";5215.0;"cluster_3"
36.0;120888.0;10333.44;9086.14;36869.6;3358.0;1.0;50.0;1.0;52014.4;12541.0;0.43;0.167;"1";9403.0;"cluster_0"
48.0;172080.0;9490.84;12243.92;56030.09;3585.0;1.0;37.0;10.0;58209.4;10124.0;0.54;0.141;"1";9104.0;"cluster_0"
48.0;323472.0;10370.04;11816.0;37800.92;6739.0;1.0;53.0;1.0;72386.4;12541.0;0.43;0.167;"1";5120.0;"cluster_0"
12.0;74688.0;13576.86;11859.93;48644.13;6224.0;1.0;49.0;23.0;28933.3;8624.0;2.66;0.102;"1";8519.0;"cluster_1"
12.0;45768.0;5775.95;9800.0;30489.5;3814.0;1.0;17.0;72.0;54427.5;8994.0;4.79;0.11;"1";10788.0;"cluster_3"
36.0;224604.0;20382.96;14068.01;44396.56;6239.0;0.0;18.0;31.0;40287.4;8930.0;4.2;0.108;"1";8260.0;"cluster_2"
24.0;79632.0;27353.17;22702.0;72417.98;3318.0;1.0;35.0;66.0;99262.5;8512.0;4.12;0.102;"1";4259.0;"cluster_1"
24.0;121896.0;14475.08;11518.23;39392.71;5079.0;0.0;29.0;55.0;41917.2;8743.0;2.43;0.111;"1";10105.0;"cluster_1"
12.0;82896.0;20315.9;11675.56;53691.86;6908.0;0.0;22.0;49.0;64300.6;8208.0;2.26;0.155;"1";3050.0;"cluster_1"
12.0;23628.0;9947.34;10137.19;49739.36;1969.0;0.0;40.0;38.0;64096.3;8965.0;8.23;0.104;"1";3674.0;"cluster_1"
48.0;209184.0;19659.16;13733.36;36970.89;4358.0;0.0;41.0;1.0;44254.7;12541.0;0.43;0.167;"1";5481.0;"cluster_0"
12.0;41904.0;6413.99;5661.25;32952.8;3492.0;0.0;20.0;70.0;39204.7;10177.0;7.75;0.081;"1";9307.0;"cluster_3"
12.0;87816.0;4898.5;4534.53;21243.07;7318.0;0.0;33.0;1.0;15665.6;12541.0;0.43;0.167;"1";4427.0;"cluster_0"
12.0;23052.0;6782.82;3293.0;23261.47;1921.0;1.0;53.0;54.0;28531.7;9897.0;1.96;0.14;"1";3834.0;"cluster_3"
24.0;189696.0;4500.0;0.0;14900.0;7904.0;1.0;24.0;60.0;22500.0;8441.0;4.48;0.115;"-1";7824.0;"cluster_3"
36.0;230220.0;5918.52;6255.16;20563.72;6395.0;1.0;51.0;74.0;6325.5;10673.0;5.44;0.1;"-1";8566.0;"cluster_3"
12.0;71460.0;11775.83;10301.25;46061.01;5955.0;0.0;49.0;55.0;53022.0;8743.0;2.43;0.111;"1";7965.0;"cluster_1"
24.0;141240.0;18742.66;8410.19;62619.93;5885.0;0.0;32.0;50.0;45871.6;8187.0;5.45;0.094;"1";5952.0;"cluster_1"
24.0;11736.0;11319.72;6347.8;34370.27;489.0;0.0;56.0;1.0;26984.4;12541.0;0.43;0.167;"1";6040.0;"cluster_0"
36.0;192744.0;7446.67;6756.54;30085.07;5354.0;1.0;23.0;60.0;29019.1;8441.0;4.48;0.115;"1";4448.0;"cluster_3"
36.0;227880.0;6602.74;8407.6;38932.31;6330.0;1.0;38.0;64.0;53716.6;9624.0;2.31;0.145;"1";8982.0;"cluster_2"
12.0;17508.0;6661.49;4007.89;36028.39;1459.0;0.0;48.0;12.0;48027.0;8754.0;4.31;0.137;"1";6363.0;"cluster_3"
24.0;98184.0;11870.66;10233.33;51282.35;4091.0;1.0;49.0;65.0;68956.1;8403.0;5.72;0.105;"1";1012.0;"cluster_1"
24.0;170256.0;12211.64;9385.6;34100.89;7094.0;1.0;29.0;16.0;43302.8;8427.0;1.54;0.107;"1";2167.0;"cluster_2"
12.0;83016.0;19816.29;10947.45;70712.26;6918.0;0.0;15.0;57.0;93620.2;8720.0;4.5;0.116;"1";5622.0;"cluster_1"
48.0;61056.0;8264.4;5487.84;32310.85;1272.0;1.0;37.0;57.0;33525.3;8720.0;4.5;0.116;"1";5991.0;"cluster_3"
48.0;123696.0;10906.08;9412.34;43566.66;2577.0;0.0;54.0;56.0;25187.2;8772.0;4.98;0.126;"1";290.0;"cluster_3"
24.0;59760.0;10767.42;8829.26;35429.02;2490.0;0.0;35.0;74.0;41133.1;10673.0;5.44;0.1;"1";6148.0;"cluster_3"
36.0;48672.0;2455.01;1218.3;21057.6;1352.0;1.0;46.0;55.0;23110.0;8743.0;2.43;0.111;"1";7133.0;"cluster_3"
36.0;140400.0;8458.41;10886.58;43471.25;3900.0;0.0;53.0;74.0;28271.8;10673.0;5.44;0.1;"1";8041.0;"cluster_3"
24.0;192552.0;5060.48;5366.5;25028.62;8023.0;1.0;30.0;20.0;22225.5;8547.0;3.64;0.12;"-1";1106.0;"cluster_3"
36.0;164052.0;10841.9;11560.72;43805.72;4557.0;1.0;19.0;31.0;20811.2;8930.0;4.2;0.108;"-1";1527.0;"cluster_3"
36.0;205200.0;17000.62;9106.38;50847.58;5700.0;1.0;31.0;1.0;54586.0;12541.0;0.43;0.167;"1";1978.0;"cluster_0"
24.0;51408.0;11518.99;11402.84;39645.82;2142.0;0.0;45.0;29.0;49198.8;8843.0;3.6;0.113;"1";4337.0;"cluster_3"
60.0;199680.0;9849.27;7838.6;28659.01;3328.0;0.0;45.0;52.0;19938.6;8363.0;3.49;0.108;"1";2345.0;"cluster_3"
60.0;482940.0;5474.97;4375.47;24111.42;8049.0;1.0;18.0;1.0;18439.4;12541.0;0.43;0.167;"-1";10451.0;"cluster_0"
12.0;36684.0;6548.25;4329.3;26808.98;3057.0;1.0;16.0;70.0;35093.0;10177.0;7.75;0.081;"1";6425.0;"cluster_3"
60.0;398640.0;22267.47;14941.56;49209.45;6644.0;1.0;34.0;74.0;59316.9;10673.0;5.44;0.1;"1";6226.0;"cluster_2"
60.0;100980.0;8316.49;4360.44;32786.39;1683.0;0.0;29.0;54.0;48637.7;9897.0;1.96;0.14;"1";344.0;"cluster_3"
12.0;31248.0;11532.09;10925.29;50975.82;2604.0;1.0;55.0;1.0;53922.3;12541.0;0.43;0.167;"1";2962.0;"cluster_0"
36.0;115992.0;7690.05;5048.78;25460.59;3222.0;0.0;57.0;31.0;9669.5;8930.0;4.2;0.108;"1";10738.0;"cluster_3"
12.0;76380.0;4647.43;3396.28;24499.46;6365.0;1.0;37.0;1.0;23156.6;12541.0;0.43;0.167;"1";3747.0;"cluster_0"
36.0;288468.0;6093.55;15666.67;29269.44;8013.0;1.0;36.0;63.0;48665.3;8288.0;4.52;0.11;"1";7523.0;"cluster_2"
48.0;177744.0;7870.64;5098.28;22822.91;3703.0;0.0;22.0;59.0;14230.7;8444.0;3.47;0.106;"-1";3166.0;"cluster_3"
36.0;270648.0;11040.86;11955.55;57490.33;7518.0;0.0;57.0;1.0;50996.5;12541.0;0.43;0.167;"-1";6118.0;"cluster_0"
24.0;48624.0;12852.61;10941.69;56582.91;2026.0;0.0;33.0;40.0;47993.6;9317.0;7.07;0.097;"1";816.0;"cluster_1"
24.0;76416.0;8962.7;5788.0;36538.2;3184.0;0.0;57.0;1.0;12262.9;12541.0;0.43;0.167;"1";9640.0;"cluster_0"
60.0;137880.0;7155.16;5380.31;22148.85;2298.0;0.0;31.0;72.0;19966.8;8994.0;4.79;0.11;"-1";6715.0;"cluster_3"
48.0;347952.0;12293.43;11801.14;45701.5;7249.0;1.0;30.0;29.0;57546.3;8843.0;3.6;0.113;"1";2245.0;"cluster_2"
12.0;68112.0;21102.36;8586.8;49106.79;5676.0;1.0;17.0;35.0;39416.1;8867.0;1.21;0.13;"1";7857.0;"cluster_1"
12.0;95808.0;17236.52;15006.44;51716.61;7984.0;0.0;54.0;43.0;72500.4;9425.0;2.5;0.125;"1";2419.0;"cluster_1"
48.0;20832.0;4330.66;2324.41;23025.07;434.0;0.0;46.0;38.0;17887.1;8965.0;8.23;0.104;"1";7819.0;"cluster_3"
60.0;316140.0;4569.18;3821.34;18523.96;5269.0;0.0;26.0;1.0;12826.4;12541.0;0.43;0.167;"-1";3678.0;"cluster_0"
12.0;43164.0;18959.56;13702.05;66901.52;3597.0;1.0;19.0;61.0;31349.9;8814.0;5.74;0.107;"1";6472.0;"cluster_1"
48.0;221280.0;16880.98;11735.44;32937.69;4610.0;0.0;26.0;74.0;31314.7;10673.0;5.44;0.1;"1";4413.0;"cluster_2"
48.0;151728.0;7346.89;11851.14;29950.44;3161.0;0.0;18.0;74.0;26488.7;10673.0;5.44;0.1;"-1";9750.0;"cluster_3"
60.0;79920.0;12747.92;7746.93;38501.46;1332.0;0.0;41.0;26.0;31271.6;10787.0;3.09;0.131;"1";6353.0;"cluster_3"
60.0;538500.0;11655.07;7621.83;26580.94;8975.0;0.0;34.0;5.0;23271.0;9307.0;4.43;0.118;"1";817.0;"cluster_2"
24.0;97224.0;5443.27;3847.83;18409.35;4051.0;1.0;43.0;17.0;19479.6;8114.0;2.62;0.119;"1";4414.0;"cluster_3"
24.0;28248.0;10277.87;7875.84;37643.33;1177.0;1.0;25.0;47.0;33729.1;9538.0;1.81;0.111;"1";6030.0;"cluster_3"
24.0;168984.0;11071.98;10697.56;56955.99;7041.0;0.0;18.0;1.0;24304.3;12541.0;0.43;0.167;"-1";11021.0;"cluster_0"
24.0;76680.0;12684.86;9806.11;64558.21;3195.0;0.0;46.0;68.0;27191.2;9893.0;4.72;0.096;"1";8564.0;"cluster_1"
60.0;331560.0;11685.3;7154.12;36182.64;5526.0;0.0;14.0;2.0;47992.1;8507.0;1.85;0.132;"1";9869.0;"cluster_2"
60.0;103680.0;5205.72;3041.53;25989.2;1728.0;0.0;23.0;42.0;30227.6;8388.0;2.94;0.087;"-1";5700.0;"cluster_3"
48.0;99696.0;12062.44;9838.89;39390.52;2077.0;1.0;23.0;65.0;32966.8;8403.0;5.72;0.105;"-1";1247.0;"cluster_3"
24.0;134784.0;7373.97;7993.31;42341.76;5616.0;1.0;54.0;70.0;16218.7;10177.0;7.75;0.081;"1";8316.0;"cluster_3"
12.0;15420.0;4717.84;2553.24;25120.81;1285.0;1.0;29.0;1.0;31867.2;12541.0;0.43;0.167;"1";3064.0;"cluster_0"
24.0;31728.0;8154.91;4138.54;34346.86;1322.0;0.0;44.0;1.0;32802.7;12541.0;0.43;0.167;"1";7607.0;"cluster_0"
48.0;185952.0;8209.59;8920.5;39851.85;3874.0;0.0;50.0;34.0;82385.2;9675.0;7.68;0.1;"1";2228.0;"cluster_2"
36.0;156672.0;3552.0;3083.94;22856.07;4352.0;1.0;38.0;28.0;23286.1;8594.0;2.01;0.112;"1";2361.0;"cluster_3"
12.0;18564.0;7766.57;8550.0;28607.0;1547.0;1.0;32.0;1.0;43265.7;12541.0;0.43;0.167;"1";3752.0;"cluster_0"
48.0;158976.0;10535.09;6235.65;46815.67;3312.0;0.0;56.0;52.0;18894.0;8363.0;3.49;0.108;"1";4079.0;"cluster_3"
24.0;47304.0;16134.99;13777.4;71109.95;1971.0;0.0;23.0;64.0;62458.3;9624.0;2.31;0.145;"1";8625.0;"cluster_1"
24.0;104712.0;13075.2;8652.43;47155.82;4363.0;0.0;50.0;74.0;25947.2;10673.0;5.44;0.1;"1";9591.0;"cluster_3"
24.0;126600.0;17240.66;11064.77;37042.15;5275.0;0.0;56.0;47.0;48720.6;9538.0;1.81;0.111;"1";9828.0;"cluster_1"
12.0;68400.0;3967.88;7760.0;26137.1;5700.0;1.0;18.0;68.0;23946.1;9893.0;4.72;0.096;"-1";1993.0;"cluster_3"
60.0;225420.0;7137.48;5707.76;26813.3;3757.0;1.0;46.0;61.0;32403.4;8814.0;5.74;0.107;"1";5628.0;"cluster_3"
36.0;248148.0;9284.64;5048.91;37881.52;6893.0;1.0;54.0;28.0;41108.6;8594.0;2.01;0.112;"1";1762.0;"cluster_2"
24.0;187224.0;11535.65;9134.55;43000.75;7801.0;0.0;47.0;1.0;50832.1;12541.0;0.43;0.167;"-1";347.0;"cluster_0"
12.0;36396.0;13285.86;9696.46;56224.91;3033.0;0.0;23.0;76.0;45480.6;8369.0;5.88;0.107;"1";9472.0;"cluster_1"
60.0;189060.0;23467.74;16064.96;74106.6;3151.0;1.0;36.0;4.0;68945.6;9753.0;5.05;0.109;"1";960.0;"cluster_1"
36.0;71064.0;7980.82;5323.92;28142.62;1974.0;1.0;48.0;38.0;31397.0;8965.0;8.23;0.104;"1";1256.0;"cluster_3"
48.0;87216.0;5671.05;2607.52;26692.5;1817.0;1.0;41.0;1.0;29638.3;12541.0;0.43;0.167;"1";854.0;"cluster_0"
60.0;158760.0;7271.74;4306.81;26392.57;2646.0;0.0;17.0;48.0;19182.3;9060.0;2.44;0.124;"1";3629.0;"cluster_3"
60.0;417060.0;6436.59;9703.35;38547.6;6951.0;1.0;33.0;29.0;80978.7;8843.0;3.6;0.113;"1";8377.0;"cluster_2"
60.0;63360.0;4110.71;2571.18;27199.01;1056.0;0.0;39.0;49.0;25635.0;8208.0;2.26;0.155;"1";7190.0;"cluster_3"
24.0;29784.0;7141.01;7566.67;23741.86;1241.0;1.0;25.0;26.0;37920.3;10787.0;3.09;0.131;"1";8159.0;"cluster_3"
24.0;139536.0;16068.5;11593.17;56729.94;5814.0;1.0;53.0;61.0;36472.9;8814.0;5.74;0.107;"1";9656.0;"cluster_1"
36.0;265320.0;6926.54;5573.99;30094.99;7370.0;1.0;46.0;51.0;35289.8;8541.0;2.97;0.131;"1";8489.0;"cluster_2"
24.0;198240.0;7622.04;8600.38;25037.32;8260.0;0.0;39.0;41.0;35344.2;9832.0;4.48;0.114;"1";10630.0;"cluster_2"
60.0;60000.0;3821.68;2143.5;21449.86;1000.0;0.0;48.0;45.0;16893.2;8390.0;2.89;0.132;"1";10440.0;"cluster_3"
48.0;465072.0;12214.34;7696.94;23346.6;9689.0;0.0;47.0;66.0;37152.4;8512.0;4.12;0.102;"1";4774.0;"cluster_2"
24.0;98592.0;12824.36;9522.36;58938.51;4108.0;1.0;31.0;10.0;62671.9;10124.0;0.54;0.141;"1";5650.0;"cluster_0"
60.0;285600.0;8260.82;9175.52;40785.33;4760.0;1.0;14.0;5.0;28194.4;9307.0;4.43;0.118;"1";5632.0;"cluster_2"
24.0;44088.0;7293.86;7549.27;30912.1;1837.0;1.0;44.0;9.0;44368.6;8899.0;3.97;0.149;"1";3489.0;"cluster_3"
12.0;20220.0;9653.89;10132.07;33999.67;1685.0;1.0;22.0;9.0;31317.9;8899.0;3.97;0.149;"1";4580.0;"cluster_3"
24.0;107640.0;19294.51;18911.85;38623.64;4485.0;1.0;35.0;2.0;65325.4;8507.0;1.85;0.132;"1";4727.0;"cluster_1"
12.0;21396.0;5919.61;3941.31;29866.39;1783.0;0.0;26.0;15.0;24782.0;9045.0;3.6;0.124;"1";4825.0;"cluster_3"
48.0;33984.0;5301.16;5253.34;33892.76;708.0;0.0;23.0;64.0;44465.4;9624.0;2.31;0.145;"1";8776.0;"cluster_3"
24.0;45336.0;11027.91;7340.12;38173.66;1889.0;0.0;38.0;19.0;40939.5;8402.0;3.98;0.12;"1";1375.0;"cluster_3"
60.0;85860.0;3773.52;3579.57;29152.06;1431.0;1.0;39.0;2.0;39366.8;8507.0;1.85;0.132;"1";8492.0;"cluster_3"
48.0;188688.0;11536.45;11803.4;40300.72;3931.0;1.0;30.0;64.0;23579.7;9624.0;2.31;0.145;"1";9493.0;"cluster_2"
48.0;309552.0;20572.29;17843.05;42731.49;6449.0;0.0;60.0;72.0;51799.4;8994.0;4.79;0.11;"1";915.0;"cluster_2"
