;account_id;district_id;frequency;date
165;2124;69;monthly issuance;Sat, Feb 20, '93
166;322;1;monthly issuance;Sat, Feb 20, '93
167;4355;31;monthly issuance;Sun, Feb 21, '93
168;1678;1;monthly issuance;Mon, Feb 22, '93
169;2396;2;monthly issuance;Mon, Feb 22, '93
170;1005;54;weekly issuance;Tue, Feb 23, '93
171;697;28;monthly issuance;Tue, Feb 23, '93
172;925;59;monthly issuance;Tue, Feb 23, '93
173;2110;64;monthly issuance;Tue, Feb 23, '93
174;1366;60;monthly issuance;Wed, Feb 24, '93
175;1050;57;issuance after transaction;Wed, Feb 24, '93
176;3117;33;monthly issuance;Wed, Feb 24, '93
177;562;50;monthly issuance;Thu, Feb 25, '93
178;5369;54;monthly issuance;Thu, Feb 25, '93
179;2242;7;weekly issuance;Thu, Feb 25, '93
180;197;1;monthly issuance;Thu, Feb 25, '93
181;496;69;monthly issuance;Fri, Feb 26, '93
182;2;1;monthly issuance;Fri, Feb 26, '93
183;7401;1;monthly issuance;Fri, Feb 26, '93
184;2486;1;monthly issuance;Sat, Feb 27, '93
185;428;1;monthly issuance;Sat, Feb 27, '93
186;3651;23;monthly issuance;Sat, Feb 27, '93
187;1775;17;monthly issuance;Sat, Feb 27, '93
188;1688;70;monthly issuance;Sat, Feb 27, '93
189;361;51;monthly issuance;Sat, Feb 27, '93
190;1829;43;monthly issuance;Sat, Feb 27, '93
191;1575;1;monthly issuance;Sat, Feb 27, '93
192;9203;70;monthly issuance;Sat, Feb 27, '93
193;3008;72;monthly issuance;Sat, Feb 27, '93
194;239;69;weekly issuance;Mon, Mar 01, '93
195;3302;21;monthly issuance;Tue, Mar 02, '93
196;415;25;monthly issuance;Wed, Mar 03, '93
197;3513;20;monthly issuance;Wed, Mar 03, '93
198;4134;7;monthly issuance;Wed, Mar 03, '93
199;1077;14;monthly issuance;Wed, Mar 03, '93
200;1713;43;monthly issuance;Wed, Mar 03, '93
201;1378;59;monthly issuance;Thu, Mar 04, '93
202;2503;1;monthly issuance;Fri, Mar 05, '93
203;559;46;monthly issuance;Fri, Mar 05, '93
204;6555;38;weekly issuance;Fri, Mar 05, '93
205;744;42;monthly issuance;Sat, Mar 06, '93
206;882;9;monthly issuance;Sat, Mar 06, '93
207;86;54;monthly issuance;Sun, Mar 07, '93
208;1126;56;monthly issuance;Mon, Mar 08, '93
209;2666;49;monthly issuance;Mon, Mar 08, '93
210;944;70;monthly issuance;Mon, Mar 08, '93
211;1545;1;monthly issuance;Mon, Mar 08, '93
212;2453;1;monthly issuance;Mon, Mar 08, '93
213;3734;43;monthly issuance;Mon, Mar 08, '93
214;3935;23;monthly issuance;Mon, Mar 08, '93
215;396;21;monthly issuance;Mon, Mar 08, '93
216;2694;7;monthly issuance;Mon, Mar 08, '93
217;4596;74;monthly issuance;Tue, Mar 09, '93
218;2489;72;monthly issuance;Tue, Mar 09, '93
219;2895;19;monthly issuance;Tue, Mar 09, '93
220;317;76;monthly issuance;Wed, Mar 10, '93
221;2555;53;monthly issuance;Wed, Mar 10, '93
222;494;60;monthly issuance;Thu, Mar 11, '93
223;2219;60;monthly issuance;Thu, Mar 11, '93
224;2581;72;monthly issuance;Thu, Mar 11, '93
225;112;6;monthly issuance;Fri, Mar 12, '93
226;3674;38;monthly issuance;Fri, Mar 12, '93
227;2039;44;monthly issuance;Fri, Mar 12, '93
228;2712;9;monthly issuance;Fri, Mar 12, '93
229;395;1;monthly issuance;Fri, Mar 12, '93
230;2974;9;monthly issuance;Sat, Mar 13, '93
231;123;21;monthly issuance;Sat, Mar 13, '93
232;9640;1;monthly issuance;Sat, Mar 13, '93
233;3108;53;monthly issuance;Sun, Mar 14, '93
234;2508;34;monthly issuance;Sun, Mar 14, '93
235;2458;40;weekly issuance;Sun, Mar 14, '93
236;588;66;monthly issuance;Sun, Mar 14, '93
237;7231;10;monthly issuance;Sun, Mar 14, '93
238;6701;49;weekly issuance;Mon, Mar 15, '93
239;3883;72;monthly issuance;Mon, Mar 15, '93
240;222;37;monthly issuance;Mon, Mar 15, '93
241;2497;65;monthly issuance;Tue, Mar 16, '93
242;1372;1;monthly issuance;Tue, Mar 16, '93
243;3835;50;monthly issuance;Tue, Mar 16, '93
244;7445;64;monthly issuance;Thu, Mar 18, '93
245;2527;38;monthly issuance;Fri, Mar 19, '93
246;425;9;monthly issuance;Fri, Mar 19, '93
247;860;1;monthly issuance;Fri, Mar 19, '93
248;6034;6;weekly issuance;Fri, Mar 19, '93
249;11065;11;monthly issuance;Fri, Mar 19, '93
250;9883;1;monthly issuance;Fri, Mar 19, '93
251;115;68;monthly issuance;Fri, Mar 19, '93
252;1189;59;monthly issuance;Fri, Mar 19, '93
253;3675;64;monthly issuance;Sat, Mar 20, '93
254;3069;66;monthly issuance;Sat, Mar 20, '93
255;2762;19;monthly issuance;Sat, Mar 20, '93
256;892;70;monthly issuance;Sat, Mar 20, '93
257;1535;46;monthly issuance;Sat, Mar 20, '93
258;2618;60;monthly issuance;Sun, Mar 21, '93
259;2651;2;monthly issuance;Sun, Mar 21, '93
260;5442;34;monthly issuance;Mon, Mar 22, '93
261;1787;30;weekly issuance;Mon, Mar 22, '93
262;1397;17;monthly issuance;Mon, Mar 22, '93
263;3785;10;monthly issuance;Wed, Mar 24, '93
264;623;1;monthly issuance;Wed, Mar 24, '93
265;8260;31;monthly issuance;Wed, Mar 24, '93
266;3678;1;monthly issuance;Wed, Mar 24, '93
267;3001;1;monthly issuance;Wed, Mar 24, '93
268;655;53;monthly issuance;Wed, Mar 24, '93
269;4093;1;monthly issuance;Thu, Mar 25, '93
270;3260;68;monthly issuance;Thu, Mar 25, '93
271;2528;65;monthly issuance;Thu, Mar 25, '93
272;2011;75;monthly issuance;Thu, Mar 25, '93
273;1721;68;monthly issuance;Thu, Mar 25, '93
274;1332;59;monthly issuance;Thu, Mar 25, '93
275;1402;74;monthly issuance;Fri, Mar 26, '93
276;3283;68;monthly issuance;Fri, Mar 26, '93
277;3781;31;monthly issuance;Fri, Mar 26, '93
278;7203;71;monthly issuance;Fri, Mar 26, '93
279;1065;72;monthly issuance;Sat, Mar 27, '93
280;3076;54;monthly issuance;Sat, Mar 27, '93
281;4347;1;monthly issuance;Sat, Mar 27, '93
282;1157;7;monthly issuance;Sat, Mar 27, '93
283;9403;1;weekly issuance;Sat, Mar 27, '93
284;1874;9;monthly issuance;Sat, Mar 27, '93
285;1115;34;monthly issuance;Sat, Mar 27, '93
286;3586;59;monthly issuance;Sat, Mar 27, '93
287;62;47;monthly issuance;Sun, Mar 28, '93
288;1771;69;monthly issuance;Sun, Mar 28, '93
289;5483;13;monthly issuance;Sun, Mar 28, '93
290;8330;48;monthly issuance;Sun, Mar 28, '93
291;187;5;monthly issuance;Sun, Mar 28, '93
292;423;12;monthly issuance;Sun, Mar 28, '93
293;6425;31;monthly issuance;Mon, Mar 29, '93
294;2493;62;monthly issuance;Mon, Mar 29, '93
295;2896;29;monthly issuance;Tue, Mar 30, '93
296;2245;29;monthly issuance;Tue, Mar 30, '93
297;3923;52;monthly issuance;Tue, Mar 30, '93
298;1898;70;monthly issuance;Thu, Apr 01, '93
299;3367;1;monthly issuance;Thu, Apr 01, '93
300;3391;74;monthly issuance;Thu, Apr 01, '93
301;8519;23;monthly issuance;Fri, Apr 02, '93
302;1780;1;monthly issuance;Fri, Apr 02, '93
303;3915;65;monthly issuance;Fri, Apr 02, '93
304;3980;75;monthly issuance;Sat, Apr 03, '93
305;4350;63;monthly issuance;Sun, Apr 04, '93
306;686;41;monthly issuance;Sun, Apr 04, '93
307;362;15;monthly issuance;Sun, Apr 04, '93
308;299;77;monthly issuance;Mon, Apr 05, '93
309;2488;5;monthly issuance;Tue, Apr 06, '93
310;2985;71;monthly issuance;Tue, Apr 06, '93
311;385;5;monthly issuance;Wed, Apr 07, '93
312;2817;56;monthly issuance;Wed, Apr 07, '93
313;2056;58;monthly issuance;Wed, Apr 07, '93
314;2002;1;monthly issuance;Thu, Apr 08, '93
315;748;10;monthly issuance;Thu, Apr 08, '93
316;220;72;monthly issuance;Fri, Apr 09, '93
317;1422;68;monthly issuance;Fri, Apr 09, '93
318;1147;44;monthly issuance;Sat, Apr 10, '93
319;3788;70;monthly issuance;Sat, Apr 10, '93
320;1891;32;monthly issuance;Sat, Apr 10, '93
321;1239;1;monthly issuance;Sat, Apr 10, '93
322;8321;77;monthly issuance;Mon, Apr 12, '93
323;3213;51;monthly issuance;Mon, Apr 12, '93
324;2838;3;weekly issuance;Tue, Apr 13, '93
325;3644;38;monthly issuance;Tue, Apr 13, '93
326;4318;33;weekly issuance;Tue, Apr 13, '93
327;2648;51;monthly issuance;Tue, Apr 13, '93
328;2313;26;weekly issuance;Tue, Apr 13, '93
329;5428;24;monthly issuance;Wed, Apr 14, '93
330;7123;64;issuance after transaction;Wed, Apr 14, '93
331;279;39;monthly issuance;Wed, Apr 14, '93
332;104;37;monthly issuance;Thu, Apr 15, '93
333;497;55;monthly issuance;Thu, Apr 15, '93
334;1152;45;monthly issuance;Thu, Apr 15, '93
335;83;26;monthly issuance;Fri, Apr 16, '93
336;2008;52;monthly issuance;Fri, Apr 16, '93
337;3327;45;monthly issuance;Fri, Apr 16, '93
338;5740;43;monthly issuance;Fri, Apr 16, '93
339;8132;5;weekly issuance;Sat, Apr 17, '93
340;10738;45;weekly issuance;Sat, Apr 17, '93
341;2216;74;monthly issuance;Sat, Apr 17, '93
342;1815;66;monthly issuance;Sat, Apr 17, '93
343;2823;57;monthly issuance;Sun, Apr 18, '93
344;4321;47;monthly issuance;Sun, Apr 18, '93
345;1773;33;monthly issuance;Mon, Apr 19, '93
346;7454;4;monthly issuance;Mon, Apr 19, '93
347;188;54;monthly issuance;Tue, Apr 20, '93
348;10973;18;weekly issuance;Tue, Apr 20, '93
349;2599;48;monthly issuance;Tue, Apr 20, '93
350;1166;11;monthly issuance;Wed, Apr 21, '93
351;504;73;monthly issuance;Wed, Apr 21, '93
352;1518;67;monthly issuance;Wed, Apr 21, '93
353;2189;75;monthly issuance;Thu, Apr 22, '93
354;6040;1;monthly issuance;Thu, Apr 22, '93
355;2876;52;monthly issuance;Thu, Apr 22, '93
356;1505;69;monthly issuance;Fri, Apr 23, '93
357;6897;48;monthly issuance;Fri, Apr 23, '93
358;4377;28;monthly issuance;Sat, Apr 24, '93
359;717;75;monthly issuance;Sat, Apr 24, '93
360;9707;70;monthly issuance;Sat, Apr 24, '93
361;2814;72;monthly issuance;Sun, Apr 25, '93
362;3068;59;monthly issuance;Sun, Apr 25, '93
363;1476;61;monthly issuance;Mon, Apr 26, '93
364;897;38;monthly issuance;Mon, Apr 26, '93
365;977;1;monthly issuance;Mon, Apr 26, '93
366;2639;17;monthly issuance;Mon, Apr 26, '93
367;1032;11;monthly issuance;Mon, Apr 26, '93
368;928;20;monthly issuance;Mon, Apr 26, '93
369;168;31;monthly issuance;Tue, Apr 27, '93
370;2175;1;monthly issuance;Tue, Apr 27, '93
371;10105;55;monthly issuance;Wed, Apr 28, '93
372;1392;60;monthly issuance;Wed, Apr 28, '93
373;3697;45;monthly issuance;Thu, Apr 29, '93
374;5313;40;monthly issuance;Thu, Apr 29, '93
375;2222;47;monthly issuance;Sat, May 01, '93
376;2641;7;monthly issuance;Sun, May 02, '93
377;5423;15;monthly issuance;Sun, May 02, '93
378;2609;73;monthly issuance;Mon, May 03, '93
379;5472;1;monthly issuance;Tue, May 04, '93
380;2932;72;monthly issuance;Tue, May 04, '93
381;4254;70;monthly issuance;Tue, May 04, '93
382;3965;31;monthly issuance;Tue, May 04, '93
383;10656;8;monthly issuance;Wed, May 05, '93
384;887;1;monthly issuance;Wed, May 05, '93
385;4743;64;monthly issuance;Wed, May 05, '93
386;1048;35;monthly issuance;Wed, May 05, '93
387;1671;6;monthly issuance;Wed, May 05, '93
388;1236;19;monthly issuance;Wed, May 05, '93
389;1822;30;monthly issuance;Wed, May 05, '93
390;3316;28;monthly issuance;Thu, May 06, '93
391;2037;20;monthly issuance;Thu, May 06, '93
392;10079;62;monthly issuance;Thu, May 06, '93
393;3999;35;monthly issuance;Thu, May 06, '93
394;551;77;monthly issuance;Fri, May 07, '93
395;1200;33;monthly issuance;Fri, May 07, '93
396;1161;66;monthly issuance;Sat, May 08, '93
397;5372;48;monthly issuance;Sat, May 08, '93
398;3050;60;monthly issuance;Sat, May 08, '93
399;1784;59;monthly issuance;Sat, May 08, '93
400;1603;1;monthly issuance;Sun, May 09, '93
401;1887;68;monthly issuance;Sun, May 09, '93
402;1644;1;monthly issuance;Sun, May 09, '93
403;1658;73;monthly issuance;Mon, May 10, '93
404;44;32;monthly issuance;Mon, May 10, '93
405;1039;70;weekly issuance;Mon, May 10, '93
406;1071;68;weekly issuance;Mon, May 10, '93
407;2410;54;monthly issuance;Tue, May 11, '93
408;2523;10;monthly issuance;Tue, May 11, '93
409;790;54;monthly issuance;Tue, May 11, '93
410;2583;62;monthly issuance;Tue, May 11, '93
411;1782;8;monthly issuance;Wed, May 12, '93
412;751;3;monthly issuance;Wed, May 12, '93
413;2061;24;monthly issuance;Wed, May 12, '93
414;8261;13;monthly issuance;Wed, May 12, '93
415;2321;35;monthly issuance;Thu, May 13, '93
416;1334;74;monthly issuance;Fri, May 14, '93
417;3649;54;monthly issuance;Fri, May 14, '93
418;555;24;monthly issuance;Sat, May 15, '93
419;3173;39;monthly issuance;Sat, May 15, '93
420;863;71;monthly issuance;Sun, May 16, '93
421;3181;42;monthly issuance;Sun, May 16, '93
422;3210;1;monthly issuance;Mon, May 17, '93
423;489;16;monthly issuance;Mon, May 17, '93
424;947;59;monthly issuance;Mon, May 17, '93
425;3284;64;monthly issuance;Mon, May 17, '93
426;1610;52;monthly issuance;Mon, May 17, '93
427;4225;55;monthly issuance;Tue, May 18, '93
428;1412;64;monthly issuance;Tue, May 18, '93
429;1937;36;monthly issuance;Tue, May 18, '93
430;991;39;monthly issuance;Tue, May 18, '93
431;1180;20;monthly issuance;Wed, May 19, '93
432;2758;70;monthly issuance;Wed, May 19, '93
433;2711;58;monthly issuance;Wed, May 19, '93
434;1652;74;monthly issuance;Thu, May 20, '93
435;3099;70;monthly issuance;Thu, May 20, '93
436;11111;1;monthly issuance;Thu, May 20, '93
437;9591;74;monthly issuance;Thu, May 20, '93
438;9828;11;monthly issuance;Thu, May 20, '93
439;5385;44;weekly issuance;Fri, May 21, '93
440;23;30;monthly issuance;Sat, May 22, '93
441;2645;54;monthly issuance;Sat, May 22, '93
442;2991;19;monthly issuance;Sat, May 22, '93
443;3469;76;monthly issuance;Sat, May 22, '93
444;1851;55;monthly issuance;Sun, May 23, '93
445;3844;67;monthly issuance;Sun, May 23, '93
446;1442;23;monthly issuance;Sun, May 23, '93
447;3064;40;monthly issuance;Sun, May 23, '93
448;3558;4;monthly issuance;Sun, May 23, '93
449;1534;1;monthly issuance;Mon, May 24, '93
450;334;1;monthly issuance;Mon, May 24, '93
451;1786;1;monthly issuance;Tue, May 25, '93
452;1272;40;weekly issuance;Tue, May 25, '93
453;2436;67;monthly issuance;Tue, May 25, '93
454;3796;53;monthly issuance;Tue, May 25, '93
455;119;27;monthly issuance;Tue, May 25, '93
456;3063;72;monthly issuance;Wed, May 26, '93
457;18;43;weekly issuance;Wed, May 26, '93
458;11320;44;monthly issuance;Wed, May 26, '93
459;3888;39;monthly issuance;Thu, May 27, '93
460;1584;30;monthly issuance;Thu, May 27, '93
461;5546;43;monthly issuance;Fri, May 28, '93
462;2029;55;monthly issuance;Sat, May 29, '93
463;10911;1;weekly issuance;Sat, May 29, '93
464;2467;33;monthly issuance;Sat, May 29, '93
465;2962;1;monthly issuance;Sun, May 30, '93
466;165;25;monthly issuance;Tue, Jun 01, '93
467;1617;45;monthly issuance;Tue, Jun 01, '93
468;327;54;monthly issuance;Wed, Jun 02, '93
469;2068;21;monthly issuance;Wed, Jun 02, '93
470;4448;60;monthly issuance;Wed, Jun 02, '93
471;640;32;monthly issuance;Wed, Jun 02, '93
472;510;1;weekly issuance;Wed, Jun 02, '93
473;2534;61;monthly issuance;Thu, Jun 03, '93
474;1018;7;monthly issuance;Thu, Jun 03, '93
475;1285;65;monthly issuance;Fri, Jun 04, '93
476;3670;27;monthly issuance;Fri, Jun 04, '93
477;1743;51;monthly issuance;Fri, Jun 04, '93
478;3072;8;monthly issuance;Sat, Jun 05, '93
479;2146;31;monthly issuance;Sat, Jun 05, '93
480;4576;27;monthly issuance;Sat, Jun 05, '93
481;3258;53;monthly issuance;Sat, Jun 05, '93
482;2176;67;monthly issuance;Sun, Jun 06, '93
483;8934;51;monthly issuance;Sun, Jun 06, '93
484;1999;70;monthly issuance;Sun, Jun 06, '93
485;2741;15;monthly issuance;Mon, Jun 07, '93
486;4427;32;monthly issuance;Mon, Jun 07, '93
487;3682;70;monthly issuance;Mon, Jun 07, '93
488;2862;33;monthly issuance;Mon, Jun 07, '93
489;3032;5;monthly issuance;Mon, Jun 07, '93
490;701;69;monthly issuance;Tue, Jun 08, '93
491;6281;56;monthly issuance;Tue, Jun 08, '93
492;306;16;monthly issuance;Tue, Jun 08, '93
493;1207;67;monthly issuance;Tue, Jun 08, '93
494;1247;25;monthly issuance;Tue, Jun 08, '93
495;5343;64;monthly issuance;Tue, Jun 08, '93
496;5129;68;monthly issuance;Tue, Jun 08, '93
497;3713;14;weekly issuance;Tue, Jun 08, '93
498;2327;19;monthly issuance;Tue, Jun 08, '93
499;774;1;monthly issuance;Tue, Jun 08, '93
500;1990;1;monthly issuance;Wed, Jun 09, '93
501;2388;30;monthly issuance;Wed, Jun 09, '93
502;3566;21;monthly issuance;Wed, Jun 09, '93
503;10266;54;monthly issuance;Thu, Jun 10, '93
504;3771;22;monthly issuance;Fri, Jun 11, '93
505;1978;57;weekly issuance;Fri, Jun 11, '93
506;2022;72;monthly issuance;Fri, Jun 11, '93
507;3542;49;monthly issuance;Fri, Jun 11, '93
508;1515;11;monthly issuance;Fri, Jun 11, '93
509;4171;28;monthly issuance;Sat, Jun 12, '93
510;433;20;monthly issuance;Sat, Jun 12, '93
511;1373;47;monthly issuance;Sat, Jun 12, '93
512;3246;54;monthly issuance;Mon, Jun 14, '93
513;1475;1;weekly issuance;Mon, Jun 14, '93
514;3133;66;monthly issuance;Mon, Jun 14, '93
515;2779;73;monthly issuance;Tue, Jun 15, '93
516;135;75;monthly issuance;Tue, Jun 15, '93
517;446;50;monthly issuance;Tue, Jun 15, '93
518;9093;47;monthly issuance;Wed, Jun 16, '93
519;432;46;monthly issuance;Wed, Jun 16, '93
520;2880;71;monthly issuance;Wed, Jun 16, '93
521;5767;72;monthly issuance;Wed, Jun 16, '93
522;1998;1;monthly issuance;Thu, Jun 17, '93
523;2554;36;monthly issuance;Fri, Jun 18, '93
524;2933;10;monthly issuance;Fri, Jun 18, '93
525;773;15;monthly issuance;Sat, Jun 19, '93
526;4894;14;monthly issuance;Sun, Jun 20, '93
527;3969;39;monthly issuance;Sun, Jun 20, '93
