account_id;duration;amount;credits_mean;withdrawals_mean;balances_monthly_2;average_balance_monthly;payment_monthly;gender;client_age;district_id;last_balance;district_average_salary;district_unemployment_rate;enterpreneur_ratio;credits_cash_mean;credits_another_bank_mean;credits_interest_mean;withdrawal_another_bank_mean;withdrawal_cash_mean;withdrawal_credit_card_mean
8051;48;208320;12645.23;8412.91;4232.31;38254.94;4340.0;1;26;31;44183.1;8930;4.2;0.108;1200.0;27776.0;187.68;0.0;7055.0;0.0
10439;24;151560;15503.71;18538.38;-3034.67;39556.25;6315.0;0;41;66;21323.2;8512;4.12;0.102;300.0;41047.5;195.716666667;10134.0;15642.92;0.0
9337;24;52128;5527.32;6007.05;-479.73;39199.28;2172.0;1;34;11;58844.8;9622;0.59;0.154;18473.6923077;0.0;130.411538462;0.0;4819.82068966;0.0
4576;36;300204;9474.32;5561.11;3913.21;37708.64;8339.0;0;30;57;33947.4;8720;4.5;0.116;16575.3333333;0.0;154.966666667;0.0;4921.74545455;0.0
8027;12;77640;16669.74;10656.8;6012.94;53176.03;6470.0;0;26;27;30825.8;8561;1.29;0.11;1400.0;40758.9;269.79;0.0;9481.21212121;0.0
5927;48;87216;3321.03;4009.02;-688.0;23813.64;1817.0;0;30;15;21705.9;9045;3.6;0.124;1800.0;11812.6666667;104.358333333;0.0;4793.56363636;0.0
6273;24;87360;6260.68;7583.49;-1322.81;32050.23;3640.0;0;31;38;29057.9;8965;8.23;0.104;22521.5;0.0;158.42;0.0;7656.09230769;0.0
11065;48;69360;6794.69;4040.09;2754.6;29249.9;1445.0;0;52;46;38665.0;8369;2.31;0.117;11923.8823529;0.0;128.935714286;0.0;3528.63829787;0.0
8558;60;288360;7270.87;5300.0;1970.87;21732.53;4806.0;0;58;1;43450.3;12541;0.43;0.167;16118.5;0.0;44.1;0.0;10600.0;0.0
5442;24;174744;10801.31;5254.18;5547.13;26880.99;7281.0;1;15;5;6930.8;9307;4.43;0.118;18999.7826087;0.0;108.833333333;3732.33333333;6494.6;0.0
1811;60;239460;13860.05;9222.61;4637.44;34306.82;3991.0;1;51;68;36240.6;9893;4.72;0.096;300.0;26605.6666667;153.9875;5475.5;7960.96842105;0.0
7844;24;91584;19148.2;15175.68;3972.52;38021.53;3816.0;1;42;33;49842.9;8705;7.61;0.116;1000.0;36499.5714286;161.366666667;0.0;12844.1;0.0
4260;60;244560;13601.44;10192.86;3408.57;30576.73;4076.0;1;26;58;21326.1;8757;3.95;0.096;1033.33333333;27509.75;147.557142857;12006.0;7677.7375;0.0
3354;12;4980;5088.19;2660.85;2427.33;30099.26;415.0;1;41;63;22500.3;8288;4.52;0.11;9151.63636364;0.0;128.725;1573.9;3732.84705882;0.0
2762;24;111384;18730.57;10638.96;8091.6;67232.02;4641.0;0;27;11;52318.9;9622;0.59;0.154;26927.5128205;0.0;243.0125;3812.5;12864.6830769;0.0
6051;36;276660;3574.42;2663.26;911.16;18984.18;7685.0;0;45;56;19783.2;8772;4.98;0.126;5532.15;0.0;72.8;0.0;3270.98571429;0.0
9265;12;39576;7263.21;8082.88;-819.67;47221.11;3298.0;1;14;32;23901.1;9272;3.22;0.118;22967.7619048;0.0;170.5125;6874.04347826;7840.38974359;0.0
5228;24;173808;26795.32;14209.42;12585.89;48909.3;7242.0;1;37;77;94431.9;8909;5.56;0.113;1000.0;53502.6923077;254.408333333;0.0;12873.8095238;0.0
2824;60;50460;8401.34;4986.79;3414.55;30491.88;841.0;1;46;11;41531.0;9622;0.59;0.154;14286.3636364;0.0;133.05;7289.0;4223.07368421;0.0
426;60;252060;13679.98;8243.18;5436.79;42472.8;4201.0;1;28;60;70096.5;8441;4.48;0.115;20438.8421053;0.0;182.357142857;4191.5;11224.8947368;0.0
4937;24;143904;11825.66;6724.86;5100.81;49632.98;5996.0;0;43;50;38336.2;8187;5.45;0.094;21829.4666667;0.0;193.252941176;1743.5;8669.0;0.0
790;48;208128;9966.55;7555.68;2410.86;39478.94;4336.0;0;42;54;81474.6;9897;1.96;0.14;21316.375;0.0;140.338461538;0.0;7071.08235294;0.0
10911;36;131292;11845.01;7211.28;4633.72;31011.81;3647.0;0;40;1;31361.3;12541;0.43;0.167;1600.0;24226.5;138.953846154;7312.0;5452.79069767;0.0
8129;36;74736;11155.88;6905.99;4249.9;33463.3;2076.0;0;28;45;33243.7;8390;2.89;0.132;20662.0;0.0;148.725;6184.0;6313.23636364;0.0
2176;36;299088;16196.65;8147.56;8049.1;47283.34;8308.0;1;27;67;19448.5;8110;6.55;0.109;24554.4545455;0.0;189.407692308;3110.0;13134.5958333;0.0
9093;60;189300;6288.11;5192.45;1095.65;26513.34;3155.0;0;40;58;24552.0;8757;3.95;0.096;16893.0;0.0;108.746153846;1964.0;5076.46190476;0.0
5215;12;14628;8060.43;4139.03;3921.4;30701.46;1219.0;1;45;55;34917.4;8743;2.43;0.111;14026.125;0.0;136.784615385;1616.42424242;3448.785;0.0
9403;36;120888;10333.44;8076.57;2256.87;36869.6;3358.0;1;50;1;52014.4;12541;0.43;0.167;22375.3333333;0.0;171.84;3225.0;7449.77272727;0.0
9104;48;172080;9490.84;10494.79;-1003.94;56030.09;3585.0;1;37;10;58209.4;10124;0.54;0.141;22139.8333333;0.0;166.992307692;0.0;12347.4;0.0
5120;48;323472;10370.04;7596.0;2774.04;37800.92;6739.0;1;53;1;72386.4;12541;0.43;0.167;20364.5789474;0.0;187.811111111;3008.0;11409.38;0.0
8519;12;74688;12778.23;11162.29;1615.94;48644.13;6224.0;1;49;23;28933.3;8624;2.66;0.102;1100.0;40847.1875;209.23125;13711.0;9044.15319149;0.0
10788;12;45768;5775.95;4900.0;875.95;30489.5;3814.0;1;17;72;54427.5;8994;4.79;0.11;10231.2;0.0;92.9666666667;0.0;9800.0;0.0
8260;36;224604;20382.96;13286.45;7096.51;44396.56;6239.0;0;18;31;40287.4;8930;4.2;0.108;200.0;40738.0;212.84375;0.0;11705.504;0.0
4259;24;79632;27353.17;18161.6;9191.57;72417.98;3318.0;1;35;66;99262.5;8512;4.12;0.102;900.0;48521.0;239.375;9516.0;29040.0;0.0
10105;24;121896;14475.08;10840.69;3634.39;39392.71;5079.0;0;29;55;41917.2;8743;2.43;0.111;26381.625;0.0;200.706666667;0.0;10615.5617021;0.0
3050;12;82896;20315.9;10216.11;10099.78;53691.86;6908.0;0;22;49;64300.6;8208;2.26;0.155;3650.0;45589.6;257.04;3292.0;9424.17916667;1700.0
3674;12;23628;9423.8;9070.12;353.68;49739.36;1969.0;0;40;38;64096.3;8965;8.23;0.104;18527.5806452;0.0;169.733333333;9503.0;8067.86808511;0.0
5481;48;209184;19659.16;12752.4;6906.76;36970.89;4358.0;0;41;1;44254.7;12541;0.43;0.167;1000.0;39232.3076923;167.216666667;0.0;10984.6526316;0.0
9307;12;41904;6108.56;5122.08;986.48;32952.8;3492.0;0;20;70;39204.7;10177;7.75;0.081;19070.9230769;0.0;116.291891892;3694.5;6228.67391304;0.0
4427;12;87816;4898.5;3684.31;1214.2;21243.07;7318.0;0;33;1;15665.6;12541;0.43;0.167;7295.7037037;0.0;105.9;5005.0;3992.0625;0.0
3834;12;23052;6782.82;2979.38;3803.44;23261.47;1921.0;1;53;54;28531.7;9897;1.96;0.14;11093.4827586;0.0;101.147368421;1710.85245902;3076.43548387;0.0
7824;24;189696;4500.0;0.0;4500.0;14900.0;7904.0;1;24;60;22500.0;8441;4.48;0.115;4500.0;0.0;0.0;0.0;0.0;0.0
8566;36;230220;5918.52;5733.9;184.62;20563.72;6395.0;1;51;74;6325.5;10673;5.44;0.1;17419.9411765;0.0;84.1333333333;4943.94736842;7578.52608696;0.0
7965;12;71460;11775.83;7491.82;4284.01;46061.01;5955.0;0;49;55;53022.0;8743;2.43;0.111;21751.0;0.0;208.4375;7268.0;8392.13333333;0.0
5952;24;141240;18742.66;7763.25;10979.41;62619.93;5885.0;0;32;50;45871.6;8187;5.45;0.094;950.0;38028.3076923;265.041666667;2432.88235294;8489.35555556;0.0
6040;24;11736;10723.94;5679.61;5044.34;34370.27;489.0;0;56;1;26984.4;12541;0.43;0.167;21684.4210526;0.0;157.2;3034.26315789;4616.77627119;0.0
4448;36;192744;7446.67;5911.98;1534.7;30085.07;5354.0;1;23;60;29019.1;8441;4.48;0.115;15936.4210526;0.0;156.15;0.0;6237.07692308;0.0
8982;36;227880;6131.12;7807.06;-1675.94;38932.31;6330.0;1;38;64;53716.6;9624;2.31;0.145;17232.6190476;0.0;145.0125;0.0;8290.57222222;0.0
6363;12;17508;6661.49;3740.7;2920.79;36028.39;1459.0;0;48;12;48027.0;8754;4.31;0.137;11542.3529412;0.0;152.364285714;0.0;3666.48780488;0.0
1012;24;98184;11870.66;7675.0;4195.66;51282.35;4091.0;1;49;65;68956.1;8403;5.72;0.105;500.0;24545.0;162.7;0.0;10233.3333333;0.0
2167;24;170256;12211.64;8134.19;4077.45;34100.89;7094.0;1;29;16;43302.8;8427;1.54;0.107;20523.3333333;0.0;167.253846154;5922.0;7474.20555556;0.0
5622;12;83016;19816.29;10426.15;9390.14;70712.26;6918.0;0;15;57;93620.2;8720;4.5;0.116;29188.4130435;0.0;269.633333333;3450.0;12782.8904762;0.0
5991;48;61056;8264.4;5030.52;3233.87;32310.85;1272.0;1;37;57;33525.3;8720;4.5;0.116;16323.0;0.0;142.681818182;3106.5;4366.97241379;0.0
290;48;123696;10906.08;7701.0;3205.07;43566.66;2577.0;0;54;56;25187.2;8772;4.98;0.126;23625.0;0.0;216.68;2963.5;7274.48333333;0.0
6148;24;59760;10767.42;7223.94;3543.49;35429.02;2490.0;0;35;74;41133.1;10673;5.44;0.1;20249.9166667;0.0;153.68;7847.0;6080.28148148;0.0
7133;36;48672;2455.01;957.23;1497.77;21057.6;1352.0;1;46;55;23110.0;8743;2.43;0.111;4136.04761905;0.0;92.8076923077;724.5;1439.68148148;0.0
8041;36;140400;7854.24;10108.97;-2254.73;43471.25;3900.0;0;53;74;28271.8;10673;5.44;0.1;28742.3333333;0.0;212.592307692;0.0;10137.9565217;0.0
1106;24;192552;5060.48;4650.97;409.51;25028.62;8023.0;1;30;20;22225.5;8547;3.64;0.12;13074.5;0.0;104.742857143;0.0;5086.08695652;0.0
1527;36;164052;10841.9;10671.43;170.47;43805.72;4557.0;1;19;31;20811.2;8930;4.2;0.108;24513.9375;0.0;165.308333333;0.0;9350.01333333;0.0
1978;36;205200;16105.85;8627.1;7478.75;50847.58;5700.0;1;31;1;54586.0;12541;0.43;0.167;1900.0;36213.8823529;241.652941176;4419.0;6945.96153846;0.0
4337;24;51408;11518.99;9648.56;1870.44;39645.82;2142.0;0;45;29;49198.8;8843;3.6;0.113;23765.7894737;0.0;182.975;0.0;11671.5096774;0.0
2345;60;199680;9849.27;6718.8;3130.47;28659.01;3328.0;0;45;52;19938.6;8363;3.49;0.108;400.0;21505.1538462;128.892307692;3612.0;5797.92121212;0.0
10451;60;482940;5474.97;3860.71;1614.27;24111.42;8049.0;1;18;1;18439.4;12541;0.43;0.167;10386.5;0.0;103.83;2654.23529412;4112.015;0.0
6425;12;36684;6548.25;3935.72;2612.53;26808.98;3057.0;1;16;70;35093.0;10177;7.75;0.081;10438.8;0.0;121.14;0.0;3739.91466667;0.0
6226;60;398640;22267.47;14111.47;8156.0;49209.45;6644.0;1;34;74;59316.9;10673;5.44;0.1;400.0;43379.2352941;224.3;0.0;13001.1764706;0.0
344;60;100980;8316.49;3689.6;4626.89;32786.39;1683.0;0;29;54;48637.7;9897;1.96;0.14;13736.4;0.0;138.3;4739.0;3468.14117647;0.0
2962;12;31248;11532.09;10379.02;1153.07;50975.82;2604.0;1;55;1;53922.3;12541;0.43;0.167;25856.3333333;0.0;246.1;0.0;11304.5114754;0.0
10738;36;115992;7323.86;4327.52;2996.34;25460.59;3222.0;0;57;31;9669.5;8930;4.2;0.108;15288.5;0.0;97.325;4114.0;4339.55555556;0.0
3747;12;76380;4647.43;2971.74;1675.68;24499.46;6365.0;1;37;1;23156.6;12541;0.43;0.167;7597.16666667;0.0;96.65;1905.33333333;3532.18461538;0.0
7523;36;288468;6093.55;9400.0;-3306.45;29269.44;8013.0;1;36;63;48665.3;8288;4.52;0.11;15891.5;0.0;61.4375;0.0;15666.6666667;0.0
3166;48;177744;7870.64;4248.57;3622.07;22822.91;3703.0;0;22;59;14230.7;8444;3.47;0.106;15468.1428571;0.0;120.766666667;0.0;4242.30727273;0.0
6118;36;270648;10037.14;10868.68;-831.54;57490.33;7518.0;0;57;1;50996.5;12541;0.43;0.167;30479.8125;0.0;216.48;0.0;12250.2777778;0.0
816;24;48624;12138.57;9725.95;2412.62;56582.91;2026.0;0;33;40;47993.6;9317;7.07;0.097;22890.125;0.0;240.529411765;4514.0;11473.1169811;0.0
9640;24;76416;8962.7;5284.7;3678.0;36538.2;3184.0;0;57;1;12262.9;12541;0.43;0.167;3361.53846154;20842.9090909;146.763636364;7342.0;3472.88301887;0.0
6715;60;137880;7155.16;4747.33;2407.83;22148.85;2298.0;0;31;72;19966.8;8994;4.79;0.11;5028.57142857;15081.8125;102.926666667;0.0;4543.86363636;0.0
2245;48;347952;11758.94;10261.86;1497.08;45701.5;7249.0;1;30;29;57546.3;8843;3.6;0.113;26809.3225806;0.0;219.473684211;0.0;11279.7355932;0.0
7857;12;68112;21102.36;8109.76;12992.61;49106.79;5676.0;1;17;35;39416.1;8867;1.21;0.13;250.0;41284.8333333;212.888235294;2988.95121951;7541.49666667;0.0
2419;12;95808;17236.52;14006.01;3230.51;51716.61;7984.0;0;54;43;72500.4;9425;2.5;0.125;27998.1111111;0.0;226.346153846;0.0;13774.9130435;0.0
7819;48;20832;4330.66;2066.15;2264.51;23025.07;434.0;0;46;38;17887.1;8965;8.23;0.104;6757.34482759;0.0;91.8277777778;1425.75;2030.85384615;0.0
3678;60;316140;4569.18;3322.9;1246.28;18523.96;5269.0;0;26;1;12826.4;12541;0.43;0.167;7205.94736842;0.0;76.7590909091;0.0;3325.35189873;0.0
6472;12;43164;18959.56;11594.04;7365.52;66901.52;3597.0;1;19;61;31349.9;8814;5.74;0.107;850.0;41657.5;298.325;0.0;10380.42;0.0
4413;48;221280;16880.98;10832.71;6048.28;32937.69;4610.0;0;26;74;31314.7;10673;5.44;0.1;1100.0;36239.6666667;152.466666667;7802.0;8998.23529412;0.0
9750;48;151728;7346.89;8295.8;-948.9;29950.44;3161.0;0;18;74;26488.7;10673;5.44;0.1;17695.5;0.0;125.907142857;0.0;5413.58095238;0.0
6353;60;79920;11951.17;7262.75;4688.43;38501.46;1332.0;0;41;26;31271.6;10787;3.09;0.131;25283.7666667;0.0;177.221428571;3285.0;6190.56521739;0.0
817;60;538500;11655.07;6986.68;4668.39;26580.94;8975.0;0;34;5;23271.0;9307;4.43;0.118;21404.6666667;0.0;127.76;4605.0;6987.15862069;0.0
4414;24;97224;5443.27;3420.29;2022.98;18409.35;4051.0;1;43;17;19479.6;8114;2.62;0.119;8803.96153846;0.0;86.05;3612.5;2656.25454545;0.0
6030;24;28248;10277.87;7046.81;3231.06;37643.33;1177.0;1;25;47;33729.1;9538;1.81;0.111;19746.075;0.0;177.338888889;0.0;6506.86428571;0.0
11021;24;168984;11071.98;9627.8;1444.18;56955.99;7041.0;0;18;1;24304.3;12541;0.43;0.167;25369.4722222;0.0;195.844736842;0.0;10597.0230769;0.0
8564;24;76680;12684.86;9290.0;3394.86;64558.21;3195.0;0;46;68;27191.2;9893;4.72;0.096;800.0;41754.5882353;247.332352941;6326.5;7798.03214286;0.0
9869;60;331560;11685.3;6438.71;5246.59;36182.64;5526.0;0;14;2;47992.1;8507;1.85;0.132;20771.4545455;0.0;147.466666667;4192.5;5769.49803922;0.0
5700;60;103680;5205.72;2751.86;2453.86;25989.2;1728.0;0;23;42;30227.6;8388;2.94;0.087;9012.9;0.0;112.852631579;0.0;3034.44615385;0.0
1247;48;99696;11488.04;7027.78;4460.25;39390.52;2077.0;1;23;65;32966.8;8403;5.72;0.105;20853.6129032;0.0;194.828571429;0.0;8723.19272727;0.0
8316;24;134784;7373.97;7193.98;179.98;42341.76;5616.0;1;54;70;16218.7;10177;7.75;0.081;20136.6923077;0.0;170.429411765;0.0;9451.63478261;0.0
3064;12;15420;4717.84;2331.22;2386.62;25120.81;1285.0;1;29;1;31867.2;12541;0.43;0.167;7843.625;0.0;103.457142857;3084.5;1819.190625;0.0
7607;24;31728;8154.91;3702.9;4452.01;34346.86;1322.0;0;44;1;32802.7;12541;0.43;0.167;13761.8478261;0.0;139.155555556;6020.0;3257.16774194;0.0
2228;48;185952;8209.59;6861.92;1347.66;39851.85;3874.0;0;50;34;82385.2;9675;7.68;0.1;24787.6;0.0;213.41;4625.0;12538.4615385;0.0
2361;36;156672;3552.0;2423.09;1128.9;22856.07;4352.0;1;38;28;23286.1;8594;2.01;0.112;5611.66666667;0.0;92.8384615385;4613.0;2523.71333333;0.0
3752;12;18564;7766.57;6840.0;926.57;28607.0;1547.0;1;32;1;43265.7;12541;0.43;0.167;15402.1;0.0;113.8;0.0;8550.0;0.0
4079;48;158976;10535.09;5502.05;5033.04;46815.67;3312.0;0;56;52;18894.0;8363;3.49;0.108;18747.5555556;0.0;203.6875;1849.33333333;8290.6490566;0.0
8625;24;47304;16134.99;13011.99;3122.99;71109.95;1971.0;0;23;64;62458.3;9624;2.31;0.145;28136.1666667;0.0;219.864705882;8151.0;12987.2318841;0.0
9591;24;104712;13075.2;8291.91;4783.29;47155.82;4363.0;0;50;74;25947.2;10673;5.44;0.1;23009.34;0.0;206.977272727;4146.0;10754.582716;0.0
9828;24;126600;17240.66;10603.74;6636.92;37042.15;5275.0;0;56;47;48720.6;9538;1.81;0.111;400.0;34400.0;177.436363636;0.0;8519.76756757;0.0
1993;12;68400;3967.88;6466.67;-2498.79;26137.1;5700.0;1;18;68;23946.1;9893;4.72;0.096;15519.0;0.0;134.04;0.0;7760.0;0.0
5628;60;225420;7137.48;4669.99;2467.49;26813.3;3757.0;1;46;61;32403.4;8814;5.74;0.107;11860.6923077;0.0;116.388888889;0.0;4235.62068966;0.0
1762;36;248148;9284.64;4454.92;4829.72;37881.52;6893.0;1;54;28;41108.6;8594;2.01;0.112;15692.5454545;0.0;168.013333333;2059.0;4774.012;0.0
347;24;187224;11535.65;7522.57;4013.08;43000.75;7801.0;0;47;1;50832.1;12541;0.43;0.167;23784.8095238;0.0;156.623529412;0.0;9036.885;0.0
