account_id;duration;amount;gender;client_age;district_id
5228;24;173808;1;37;77
2824;60;50460;1;46;11
426;60;252060;1;28;60
4937;24;143904;0;43;50
790;48;208128;0;42;54
10911;36;131292;0;40;1
8129;36;74736;0;28;45
2176;36;299088;1;27;67
9093;60;189300;0;40;58
5215;12;14628;1;45;55
9403;36;120888;1;50;1
9104;48;172080;1;37;10
5120;48;323472;1;53;1
8519;12;74688;1;49;23
10788;12;45768;1;17;72
8260;36;224604;0;18;31
4259;24;79632;1;35;66
10105;24;121896;0;29;55
3050;12;82896;0;22;49
3674;12;23628;0;40;38
5481;48;209184;0;41;1
9307;12;41904;0;20;70
4427;12;87816;0;33;1
3834;12;23052;1;53;54
7824;24;189696;1;24;60
8566;36;230220;1;51;74
7965;12;71460;0;49;55
5952;24;141240;0;32;50
6040;24;11736;0;56;1
4448;36;192744;1;23;60
8982;36;227880;1;38;64
6363;12;17508;0;48;12
1012;24;98184;1;49;65
2167;24;170256;1;29;16
5622;12;83016;0;15;57
5991;48;61056;1;37;57
290;48;123696;0;54;56
6148;24;59760;0;35;74
7133;36;48672;1;46;55
8041;36;140400;0;53;74
1106;24;192552;1;30;20
1527;36;164052;1;19;31
1978;36;205200;1;31;1
4337;24;51408;0;45;29
2345;60;199680;0;45;52
10451;60;482940;1;18;1
6425;12;36684;1;16;70
6226;60;398640;1;34;74
344;60;100980;0;29;54
2962;12;31248;1;55;1
10738;36;115992;0;57;31
3747;12;76380;1;37;1
7523;36;288468;1;36;63
3166;48;177744;0;22;59
6118;36;270648;0;57;1
816;24;48624;0;33;40
9640;24;76416;0;57;1
6715;60;137880;0;31;72
2245;48;347952;1;30;29
7857;12;68112;1;17;35
2419;12;95808;0;54;43
7819;48;20832;0;46;38
3678;60;316140;0;26;1
6472;12;43164;1;19;61
4413;48;221280;0;26;74
9750;48;151728;0;18;74
6353;60;79920;0;41;26
817;60;538500;0;34;5
4414;24;97224;1;43;17
6030;24;28248;1;25;47
11021;24;168984;0;18;1
8564;24;76680;0;46;68
9869;60;331560;0;14;2
5700;60;103680;0;23;42
1247;48;99696;1;23;65
8316;24;134784;1;54;70
3064;12;15420;1;29;1
7607;24;31728;0;44;1
2228;48;185952;0;50;34
2361;36;156672;1;38;28
3752;12;18564;1;32;1
4079;48;158976;0;56;52
8625;24;47304;0;23;64
9591;24;104712;0;50;74
9828;24;126600;0;56;47
1993;12;68400;1;18;68
5628;60;225420;1;46;61
1762;36;248148;1;54;28
347;24;187224;0;47;1
9472;12;36396;0;23;76
960;60;189060;1;36;4
1256;36;71064;1;48;38
854;48;87216;1;41;1
3629;60;158760;0;17;48
8377;60;417060;1;33;29
7190;60;63360;0;39;49
8159;24;29784;1;25;26
9656;24;139536;1;53;61
8489;36;265320;1;46;51
10630;24;198240;0;39;41
10440;60;60000;0;48;45
4774;48;465072;0;47;66
5650;24;98592;1;31;10
5632;60;285600;1;14;5
3489;24;44088;1;44;9
4580;12;20220;1;22;9
4727;24;107640;1;35;2
4825;12;21396;0;26;15
8776;48;33984;0;23;64
1375;24;45336;0;38;19
8492;60;85860;1;39;2
9493;48;188688;1;30;64
915;48;309552;0;60;72
9897;12;36168;0;34;1
10942;60;314520;1;39;44
7861;36;21852;0;40;34
8405;60;266220;1;30;20
10093;36;231696;0;22;1
10663;36;260028;0;18;11
11349;60;419880;1;49;1
6738;12;37908;1;19;62
4423;36;73836;1;28;39
7546;12;41952;0;22;43
2343;24;99336;1;15;68
6609;36;60156;0;19;16
2218;60;182040;1;44;19
9627;48;244368;0;25;65
9731;36;113796;0;24;54
789;48;73056;0;24;39
4081;24;137904;0;27;11
5774;24;31176;0;27;1
11042;36;217152;0;21;72
6924;48;194880;0;15;74
7765;12;27984;0;46;52
2227;24;92976;1;25;31
9583;24;104712;1;25;31
7606;60;191880;0;46;21
5742;48;232560;1;25;74
1011;60;204000;0;51;45
8899;60;125340;0;51;1
7562;48;309600;0;20;72
7815;24;189696;0;50;19
4503;48;135360;0;20;50
4907;48;98832;1;25;42
5126;48;20352;1;47;58
2496;60;165120;1;45;51
11138;24;89880;0;32;70
4995;36;128988;0;56;20
3804;12;63252;1;46;7
5066;24;61656;1;42;13
6400;24;72408;1;37;31
10884;36;113544;0;53;65
8092;60;56100;0;37;54
5735;60;290700;1;36;52
3112;48;123216;1;18;38
2912;60;380160;0;46;74
4852;36;213300;0;31;47
8327;48;247728;0;16;1
1772;36;202788;1;42;31
10728;48;154656;0;39;71
9017;48;100224;1;39;70
5574;12;44628;0;52;13
808;48;215616;0;39;69
2456;48;200976;0;41;65
3037;36;277884;1;15;44
1967;48;249312;0;40;26
5213;48;320976;0;59;1
7418;12;30276;1;57;21
2352;60;49440;1;29;70
19;12;30276;1;57;21
67;24;165960;1;51;16
5794;60;123600;0;28;70
8411;60;220620;1;52;20
4462;24;66480;0;60;73
7614;48;320592;1;25;62
3608;36;161496;0;24;72
940;60;284280;1;37;37
8547;36;173016;1;51;14
5422;60;368880;0;21;66
9645;36;176148;1;32;38
9006;48;186384;0;37;40
2572;48;360000;1;23;64
1766;60;30060;0;44;28
2322;24;46320;0;17;33
1698;36;141948;1;45;68
10001;36;19044;1;22;24
8680;36;85716;0;58;17
8127;24;155880;1;27;37
5541;48;32640;0;53;43
2268;36;20196;0;25;1
3679;48;444864;0;32;64
5033;12;11400;1;16;54
6985;36;96768;1;28;38
9790;48;133968;0;53;52
846;24;187104;1;19;72
1886;36;162468;1;38;32
2580;60;89340;1;24;60
9928;60;89340;1;24;60
4994;36;258444;0;30;1
7184;24;155640;1;53;5
6358;48;270384;0;34;3
11359;12;54024;0;28;61
5593;12;44376;0;34;15
6289;48;85632;1;47;64
11054;60;148920;0;19;59
544;24;91152;0;53;32
4851;24;141648;0;44;52
1583;48;388512;1;27;69
4650;60;402000;0;16;4
3084;36;253512;1;51;59
2143;36;71460;1;16;1
9199;12;29448;0;48;72
2994;36;48744;1;32;77
6397;60;181020;1;30;48
10762;36;68832;0;37;1
7136;36;74124;1;57;12
8533;48;174048;1;44;47
7926;24;84120;1;46;69
10019;36;194940;0;31;8
4476;24;15192;1;23;24
9814;12;96168;1;24;64
2236;36;139464;0;38;73
10436;36;54396;0;57;60
11186;60;392460;1;15;12
2106;12;101520;1;19;1
3230;36;77184;1;41;1
9024;48;70656;0;44;1
4585;48;64656;0;49;27
1862;60;396120;1;46;19
8039;24;93600;0;24;9
6688;36;22968;1;46;16
501;60;262980;1;30;13
7795;60;372120;0;51;64
9422;12;86184;1;55;70
2062;12;86184;1;55;70
4447;36;192744;0;32;62
3754;24;68544;0;20;37
132;12;88440;1;51;40
5001;24;110112;0;33;53
6434;24;110136;1;38;1
5263;60;276300;0;20;64
4948;60;359760;0;17;43
3115;60;321180;0;60;14
9548;48;46176;0;30;62
10297;48;421008;0;43;14
7859;12;72120;1;44;52
9510;36;228276;0;35;1
1250;48;182640;1;54;62
2153;12;61560;0;53;31
4981;48;179328;0;23;54
3021;48;155616;1;37;10
10520;60;417600;0;26;55
10411;24;123408;0;32;39
9030;48;155616;1;25;72
3189;60;222180;0;57;29
8972;48;45024;1;39;70
10963;36;115812;0;43;16
11362;24;129408;1;34;67
