account_id;duration;amount;credits_mean;withdrawals_mean;balances_monthly_2;average_balance_monthly;payment_monthly;gender;client_age;district_id;last_balance
1071;60;253200;9889.57;12867.38;-2977.8;53228.7;4220.0;1;43;52;81150.6
8475;24;21072;3262.68;1660.0;1602.69;19480.88;878.0;1;29;17;30867.0
11111;36;108144;10421.29;10629.34;-208.05;50546.99;3004.0;1;30;59;21921.3
1603;12;78936;3830.32;1988.74;1841.58;26348.41;6578.0;1;37;31;24601.0
1166;48;149040;9158.88;6337.89;2820.99;29463.77;3105.0;1;25;11;19048.1
8073;12;49320;10242.02;10450.2;-208.18;45288.02;4110.0;1;48;24;15673.6
10940;36;197748;12633.43;12958.33;-324.9;34526.22;5493.0;1;23;13;43294.5
5313;60;300660;14069.98;6956.02;7113.95;29444.47;5011.0;0;44;40;33918.9
11135;36;182628;6998.22;6200.0;798.22;28956.48;5073.0;0;34;75;45660.9
2694;12;91632;8357.75;5057.45;3300.3;41308.78;7636.0;1;31;52;33061.9
7753;24;51696;14037.5;11065.15;2972.35;57215.26;2154.0;1;26;74;38202.2
7445;24;55368;8289.98;6504.05;1785.93;40465.59;2307.0;1;54;64;12414.4
7485;24;91200;11348.65;9391.19;1957.46;29075.68;3800.0;1;38;39;32715.3
8330;24;7656;8125.91;6972.95;1152.95;36141.52;319.0;1;31;48;36353.1
6555;36;212400;12857.14;9764.32;3092.81;46648.19;5900.0;1;27;38;64221.1
10079;60;167100;14996.77;10748.77;4248.0;67847.75;2785.0;1;24;62;39310.2
5385;60;149340;7340.85;5042.05;2298.8;24523.85;2489.0;0;31;44;23568.3
5891;12;65184;17449.11;10641.19;6807.92;39497.44;5432.0;0;36;3;67995.4
10131;36;215388;3560.97;5083.33;-1522.36;27495.15;5983.0;0;34;39;30662.8
8321;60;89040;3513.49;2996.92;516.57;32505.99;1484.0;1;24;77;29305.8
5256;36;193968;11856.92;15675.0;-3818.08;40956.34;5388.0;0;21;72;80780.0
813;12;24312;5469.26;3929.2;1540.06;27954.76;2026.0;1;38;16;28461.9
2933;60;272520;10868.5;7670.13;3198.37;37865.22;4542.0;0;54;10;30009.9
8173;12;80340;20754.59;12790.12;7964.48;64330.72;6695.0;1;18;1;89342.6
9833;12;97632;25690.01;15290.7;10399.31;36765.79;8136.0;1;25;21;41330.1
7769;48;196080;13644.22;7444.76;6199.46;59177.11;4085.0;0;35;23;86857.4
6473;12;76908;13502.92;11158.18;2344.74;44282.31;6409.0;1;48;4;14888.6
7454;48;63312;2591.1;1291.5;1299.6;22098.31;1319.0;1;38;31;28553.5
6930;24;25944;13355.0;8131.89;5223.11;60904.73;1081.0;1;34;41;69398.9
173;12;104808;9389.93;6437.36;2952.57;28867.14;8734.0;0;54;66;28015.4
8051;48;208320;12645.23;8412.91;4232.31;38254.94;4340.0;1;26;31;44183.1
10439;24;151560;15503.71;18538.38;-3034.67;39556.25;6315.0;0;41;66;21323.2
9337;24;52128;5527.32;6007.05;-479.73;39199.28;2172.0;1;34;11;58844.8
4576;36;300204;9474.32;5561.11;3913.21;37708.64;8339.0;0;30;57;33947.4
8027;12;77640;16669.74;10656.8;6012.94;53176.03;6470.0;0;26;27;30825.8
5927;48;87216;3321.03;4009.02;-688.0;23813.64;1817.0;0;30;15;21705.9
6273;24;87360;6260.68;7583.49;-1322.81;32050.23;3640.0;0;31;38;29057.9
11065;48;69360;6794.69;4040.09;2754.6;29249.9;1445.0;0;52;46;38665.0
8558;60;288360;7270.87;5300.0;1970.87;21732.53;4806.0;0;58;1;43450.3
5442;24;174744;10801.31;5254.18;5547.13;26880.99;7281.0;1;15;5;6930.8
1811;60;239460;13860.05;9222.61;4637.44;34306.82;3991.0;1;51;68;36240.6
7844;24;91584;19148.2;15175.68;3972.52;38021.53;3816.0;1;42;33;49842.9
4260;60;244560;13601.44;10192.86;3408.57;30576.73;4076.0;1;26;58;21326.1
3354;12;4980;5088.19;2660.85;2427.33;30099.26;415.0;1;41;63;22500.3
2762;24;111384;18730.57;10638.96;8091.6;67232.02;4641.0;0;27;11;52318.9
6051;36;276660;3574.42;2663.26;911.16;18984.18;7685.0;0;45;56;19783.2
9265;12;39576;7263.21;8082.88;-819.67;47221.11;3298.0;1;14;32;23901.1
5228;24;173808;26795.32;14209.42;12585.89;48909.3;7242.0;1;37;77;94431.9
2824;60;50460;8401.34;4986.79;3414.55;30491.88;841.0;1;46;11;41531.0
426;60;252060;13679.98;8243.18;5436.79;42472.8;4201.0;1;28;60;70096.5
4937;24;143904;11825.66;6724.86;5100.81;49632.98;5996.0;0;43;50;38336.2
790;48;208128;9966.55;7555.68;2410.86;39478.94;4336.0;0;42;54;81474.6
10911;36;131292;11845.01;7211.28;4633.72;31011.81;3647.0;0;40;1;31361.3
8129;36;74736;11155.88;6905.99;4249.9;33463.3;2076.0;0;28;45;33243.7
2176;36;299088;16196.65;8147.56;8049.1;47283.34;8308.0;1;27;67;19448.5
9093;60;189300;6288.11;5192.45;1095.65;26513.34;3155.0;0;40;58;24552.0
5215;12;14628;8060.43;4139.03;3921.4;30701.46;1219.0;1;45;55;34917.4
9403;36;120888;10333.44;8076.57;2256.87;36869.6;3358.0;1;50;1;52014.4
9104;48;172080;9490.84;10494.79;-1003.94;56030.09;3585.0;1;37;10;58209.4
5120;48;323472;10370.04;7596.0;2774.04;37800.92;6739.0;1;53;1;72386.4
8519;12;74688;12778.23;11162.29;1615.94;48644.13;6224.0;1;49;23;28933.3
10788;12;45768;5775.95;4900.0;875.95;30489.5;3814.0;1;17;72;54427.5
8260;36;224604;20382.96;13286.45;7096.51;44396.56;6239.0;0;18;31;40287.4
4259;24;79632;27353.17;18161.6;9191.57;72417.98;3318.0;1;35;66;99262.5
10105;24;121896;14475.08;10840.69;3634.39;39392.71;5079.0;0;29;55;41917.2
3050;12;82896;20315.9;10216.11;10099.78;53691.86;6908.0;0;22;49;64300.6
3674;12;23628;9423.8;9070.12;353.68;49739.36;1969.0;0;40;38;64096.3
5481;48;209184;19659.16;12752.4;6906.76;36970.89;4358.0;0;41;1;44254.7
9307;12;41904;6108.56;5122.08;986.48;32952.8;3492.0;0;20;70;39204.7
4427;12;87816;4898.5;3684.31;1214.2;21243.07;7318.0;0;33;1;15665.6
3834;12;23052;6782.82;2979.38;3803.44;23261.47;1921.0;1;53;54;28531.7
7824;24;189696;4500.0;0.0;4500.0;14900.0;7904.0;1;24;60;22500.0
8566;36;230220;5918.52;5733.9;184.62;20563.72;6395.0;1;51;74;6325.5
7965;12;71460;11775.83;7491.82;4284.01;46061.01;5955.0;0;49;55;53022.0
5952;24;141240;18742.66;7763.25;10979.41;62619.93;5885.0;0;32;50;45871.6
6040;24;11736;10723.94;5679.61;5044.34;34370.27;489.0;0;56;1;26984.4
4448;36;192744;7446.67;5911.98;1534.7;30085.07;5354.0;1;23;60;29019.1
8982;36;227880;6131.12;7807.06;-1675.94;38932.31;6330.0;1;38;64;53716.6
6363;12;17508;6661.49;3740.7;2920.79;36028.39;1459.0;0;48;12;48027.0
1012;24;98184;11870.66;7675.0;4195.66;51282.35;4091.0;1;49;65;68956.1
2167;24;170256;12211.64;8134.19;4077.45;34100.89;7094.0;1;29;16;43302.8
5622;12;83016;19816.29;10426.15;9390.14;70712.26;6918.0;0;15;57;93620.2
5991;48;61056;8264.4;5030.52;3233.87;32310.85;1272.0;1;37;57;33525.3
290;48;123696;10906.08;7701.0;3205.07;43566.66;2577.0;0;54;56;25187.2
6148;24;59760;10767.42;7223.94;3543.49;35429.02;2490.0;0;35;74;41133.1
7133;36;48672;2455.01;957.23;1497.77;21057.6;1352.0;1;46;55;23110.0
8041;36;140400;7854.24;10108.97;-2254.73;43471.25;3900.0;0;53;74;28271.8
1106;24;192552;5060.48;4650.97;409.51;25028.62;8023.0;1;30;20;22225.5
1527;36;164052;10841.9;10671.43;170.47;43805.72;4557.0;1;19;31;20811.2
1978;36;205200;16105.85;8627.1;7478.75;50847.58;5700.0;1;31;1;54586.0
4337;24;51408;11518.99;9648.56;1870.44;39645.82;2142.0;0;45;29;49198.8
2345;60;199680;9849.27;6718.8;3130.47;28659.01;3328.0;0;45;52;19938.6
10451;60;482940;5474.97;3860.71;1614.27;24111.42;8049.0;1;18;1;18439.4
6425;12;36684;6548.25;3935.72;2612.53;26808.98;3057.0;1;16;70;35093.0
6226;60;398640;22267.47;14111.47;8156.0;49209.45;6644.0;1;34;74;59316.9
344;60;100980;8316.49;3689.6;4626.89;32786.39;1683.0;0;29;54;48637.7
2962;12;31248;11532.09;10379.02;1153.07;50975.82;2604.0;1;55;1;53922.3
10738;36;115992;7323.86;4327.52;2996.34;25460.59;3222.0;0;57;31;9669.5
3747;12;76380;4647.43;2971.74;1675.68;24499.46;6365.0;1;37;1;23156.6
7523;36;288468;6093.55;9400.0;-3306.45;29269.44;8013.0;1;36;63;48665.3
3166;48;177744;7870.64;4248.57;3622.07;22822.91;3703.0;0;22;59;14230.7
6118;36;270648;10037.14;10868.68;-831.54;57490.33;7518.0;0;57;1;50996.5
816;24;48624;12138.57;9725.95;2412.62;56582.91;2026.0;0;33;40;47993.6
9640;24;76416;8962.7;5284.7;3678.0;36538.2;3184.0;0;57;1;12262.9
6715;60;137880;7155.16;4747.33;2407.83;22148.85;2298.0;0;31;72;19966.8
2245;48;347952;11758.94;10261.86;1497.08;45701.5;7249.0;1;30;29;57546.3
7857;12;68112;21102.36;8109.76;12992.61;49106.79;5676.0;1;17;35;39416.1
2419;12;95808;17236.52;14006.01;3230.51;51716.61;7984.0;0;54;43;72500.4
7819;48;20832;4330.66;2066.15;2264.51;23025.07;434.0;0;46;38;17887.1
3678;60;316140;4569.18;3322.9;1246.28;18523.96;5269.0;0;26;1;12826.4
6472;12;43164;18959.56;11594.04;7365.52;66901.52;3597.0;1;19;61;31349.9
4413;48;221280;16880.98;10832.71;6048.28;32937.69;4610.0;0;26;74;31314.7
9750;48;151728;7346.89;8295.8;-948.9;29950.44;3161.0;0;18;74;26488.7
6353;60;79920;11951.17;7262.75;4688.43;38501.46;1332.0;0;41;26;31271.6
817;60;538500;11655.07;6986.68;4668.39;26580.94;8975.0;0;34;5;23271.0
4414;24;97224;5443.27;3420.29;2022.98;18409.35;4051.0;1;43;17;19479.6
6030;24;28248;10277.87;7046.81;3231.06;37643.33;1177.0;1;25;47;33729.1
11021;24;168984;11071.98;9627.8;1444.18;56955.99;7041.0;0;18;1;24304.3
8564;24;76680;12684.86;9290.0;3394.86;64558.21;3195.0;0;46;68;27191.2
9869;60;331560;11685.3;6438.71;5246.59;36182.64;5526.0;0;14;2;47992.1
5700;60;103680;5205.72;2751.86;2453.86;25989.2;1728.0;0;23;42;30227.6
1247;48;99696;11488.04;7027.78;4460.25;39390.52;2077.0;1;23;65;32966.8
8316;24;134784;7373.97;7193.98;179.98;42341.76;5616.0;1;54;70;16218.7
3064;12;15420;4717.84;2331.22;2386.62;25120.81;1285.0;1;29;1;31867.2
7607;24;31728;8154.91;3702.9;4452.01;34346.86;1322.0;0;44;1;32802.7
2228;48;185952;8209.59;6861.92;1347.66;39851.85;3874.0;0;50;34;82385.2
2361;36;156672;3552.0;2423.09;1128.9;22856.07;4352.0;1;38;28;23286.1
3752;12;18564;7766.57;6840.0;926.57;28607.0;1547.0;1;32;1;43265.7
4079;48;158976;10535.09;5502.05;5033.04;46815.67;3312.0;0;56;52;18894.0
8625;24;47304;16134.99;13011.99;3122.99;71109.95;1971.0;0;23;64;62458.3
9591;24;104712;13075.2;8291.91;4783.29;47155.82;4363.0;0;50;74;25947.2
9828;24;126600;17240.66;10603.74;6636.92;37042.15;5275.0;0;56;47;48720.6
1993;12;68400;3967.88;6466.67;-2498.79;26137.1;5700.0;1;18;68;23946.1
5628;60;225420;7137.48;4669.99;2467.49;26813.3;3757.0;1;46;61;32403.4
1762;36;248148;9284.64;4454.92;4829.72;37881.52;6893.0;1;54;28;41108.6
347;24;187224;11535.65;7522.57;4013.08;43000.75;7801.0;0;47;1;50832.1
9472;12;36396;12708.21;9274.88;3433.33;56224.91;3033.0;0;23;76;45480.6
960;60;189060;23467.74;11474.97;11992.77;74106.6;3151.0;1;36;4;68945.6
1256;36;71064;7980.82;4563.36;3417.47;28142.62;1974.0;1;48;38;31397.0
854;48;87216;5671.05;2359.19;3311.87;26692.5;1817.0;1;41;1;29638.3
3629;60;158760;7271.74;3932.3;3339.44;26392.57;2646.0;0;17;48;19182.3
8377;60;417060;6436.59;6128.43;308.16;38547.6;6951.0;1;33;29;80978.7
7190;60;63360;4110.71;2203.87;1906.84;27199.01;1056.0;0;39;49;25635.0
8159;24;29784;7141.01;4540.0;2601.01;23741.86;1241.0;1;25;26;37920.3
9656;24;139536;15265.08;10433.85;4831.22;56729.94;5814.0;1;53;61;36472.9
8489;36;265320;6926.54;5067.26;1859.28;30094.99;7370.0;1;46;51;35289.8
10630;24;198240;7622.04;5733.58;1888.46;25037.32;8260.0;0;39;41;35344.2
10440;60;60000;3821.68;1851.21;1970.48;21449.86;1000.0;0;48;45;16893.2
4774;48;465072;12214.34;7291.84;4922.51;23346.6;9689.0;0;47;66;37152.4
5650;24;98592;10992.31;8162.02;2830.29;58938.51;4108.0;1;31;10;62671.9
5632;60;285600;8260.82;7136.52;1124.3;40785.33;4760.0;1;14;5;28194.4
3489;24;44088;7293.86;4718.29;2575.57;30912.1;1837.0;1;44;9;44368.6
4580;12;20220;9653.89;7599.06;2054.83;33999.67;1685.0;1;22;9;31317.9
4727;24;107640;19294.51;13508.47;5786.04;38623.64;4485.0;1;35;2;65325.4
4825;12;21396;5919.61;3415.8;2503.81;29866.39;1783.0;0;26;15;24782.0
8776;48;33984;5301.16;4445.13;856.03;33892.76;708.0;0;23;64;44465.4
1375;24;45336;11027.91;6476.57;4551.33;38173.66;1889.0;0;38;19;40939.5
8492;60;85860;3773.52;3102.29;671.23;29152.06;1431.0;1;39;2;39366.8
9493;48;188688;9613.71;7868.93;1744.77;40300.72;3931.0;1;30;64;23579.7
915;48;309552;20572.29;15860.49;4711.8;42731.49;6449.0;0;60;72;51799.4
9897;12;36168;10313.89;4971.13;5342.77;38994.11;3014.0;0;34;1;29138.1
10942;60;314520;15918.7;12694.4;3224.3;59445.31;5242.0;1;39;44;50517.0
7861;36;21852;7040.5;7511.9;-471.4;32315.01;607.0;0;40;34;42899.4
8405;60;266220;8305.89;5884.73;2421.16;28863.08;4437.0;1;30;20;38159.6
10093;36;231696;21612.7;11102.63;10510.08;36899.06;6436.0;0;22;1;39874.7
10663;36;260028;22366.81;8927.32;13439.49;50192.37;7223.0;0;18;11;69850.9
11349;60;419880;19365.88;25227.0;-5861.13;43249.17;6998.0;1;49;1;24704.4
6738;12;37908;10016.78;6242.85;3773.93;35342.37;3159.0;1;19;62;46113.5
4423;36;73836;8880.41;14442.86;-5562.45;47241.5;2051.0;1;28;39;67453.1
7546;12;41952;10678.23;4415.17;6263.06;37646.87;3496.0;0;22;43;24687.4
2343;24;99336;5201.23;3229.79;1971.45;24175.52;4139.0;1;15;68;30838.7
6609;36;60156;16920.11;12466.27;4453.83;59380.41;1671.0;0;19;16;106112.8
2218;60;182040;22247.53;15797.57;6449.97;51744.94;3034.0;1;44;19;38747.5
9627;48;244368;18137.47;14077.95;4059.52;66219.61;5091.0;0;25;65;86194.1
9731;36;113796;10369.33;5171.36;5197.96;31109.27;3161.0;0;24;54;34054.0
789;48;73056;3348.5;1303.08;2045.42;24226.83;1522.0;0;24;39;21545.7
4081;24;137904;6180.2;4120.0;2060.2;23085.96;5746.0;0;27;11;35159.7
5774;24;31176;11557.22;6632.94;4924.28;50841.65;1299.0;0;27;1;50647.1
11042;36;217152;17388.32;12316.18;5072.14;36159.62;6032.0;0;21;72;42293.9
6924;48;194880;12938.97;7141.56;5797.41;30457.14;4060.0;0;15;74;31007.0
7765;12;27984;6158.66;6100.18;58.47;30370.85;2332.0;0;46;52;18380.5
2227;24;92976;10387.42;9106.74;1280.68;40820.44;3874.0;1;25;31;21531.8
9583;24;104712;10356.56;9033.92;1322.64;42831.82;4363.0;1;25;31;30115.3
7606;60;191880;14598.06;11236.64;3361.42;60507.04;3198.0;0;46;21;78521.0
5742;48;232560;13717.4;9222.74;4494.66;63022.68;4845.0;1;25;74;41243.5
1011;60;204000;11261.44;6423.56;4837.89;31533.74;3400.0;0;51;45;45077.7
8899;60;125340;8431.03;8720.73;-289.7;47703.99;2089.0;0;51;1;19007.0
7562;48;309600;21894.71;14425.81;7468.9;45068.44;6450.0;0;20;72;35488.1
7815;24;189696;17711.72;6872.28;10839.44;65855.81;7904.0;0;50;19;88662.1
4503;48;135360;15762.92;9843.2;5919.72;57389.15;2820.0;0;20;50;54883.5
4907;48;98832;8200.58;2922.37;5278.21;34933.97;2059.0;1;25;42;27184.4
5126;48;20352;4023.12;2236.28;1786.84;31787.74;424.0;1;47;58;21281.5
2496;60;165120;3952.95;2512.44;1440.51;22458.15;2752.0;1;45;51;22745.4
11138;24;89880;12006.79;10346.0;1660.79;57362.77;3745.0;0;32;70;39079.5
4995;36;128988;8028.38;6563.23;1465.15;34499.65;3583.0;0;56;20;9680.2
3804;12;63252;17246.42;7360.73;9885.7;44609.04;5271.0;1;46;7;49709.2
5066;24;61656;11381.19;9457.14;1924.04;33731.33;2569.0;1;42;13;59695.5
6400;24;72408;7941.44;14560.0;-6618.56;46348.82;3017.0;1;37;31;36363.9
10884;36;113544;8160.16;5938.5;2221.65;29512.76;3154.0;0;53;65;13386.8
8092;60;56100;4973.12;2895.01;2078.11;17858.66;935.0;0;37;54;15407.2
5735;60;290700;14567.61;10799.65;3767.96;53056.93;4845.0;1;36;52;11574.8
3112;48;123216;13313.85;7539.9;5773.95;64022.68;2567.0;1;18;38;77580.8
2912;60;380160;15611.19;11770.09;3841.1;45094.88;6336.0;0;46;74;24549.6
4852;36;213300;4271.38;2182.13;2089.25;25899.77;5925.0;0;31;47;27341.3
8327;48;247728;12275.07;11409.94;865.13;63474.89;5161.0;0;16;1;52551.7
1772;36;202788;25988.88;13491.36;12497.52;45057.48;5633.0;1;42;31;81623.6
10728;48;154656;10037.89;5427.65;4610.24;29123.96;3222.0;0;39;71;37180.5
9017;48;100224;4775.78;5740.0;-964.22;23077.86;2088.0;1;39;70;31387.1
5574;12;44628;25266.92;11823.18;13443.75;41552.68;3719.0;0;52;13;80439.7
808;48;215616;5823.65;4978.13;845.52;17960.7;4492.0;0;39;69;8640.6
2456;48;200976;14032.63;8543.47;5489.16;55519.8;4187.0;0;41;65;47431.4
3037;36;277884;8970.25;6984.48;1985.77;33607.74;7719.0;1;15;44;11614.0
1967;48;249312;9070.81;9128.12;-57.31;36267.05;5194.0;0;40;26;55426.5
5213;48;320976;18370.67;17568.45;802.22;36301.78;6687.0;0;59;1;46462.2
7418;12;30276;4429.45;5719.42;-1289.97;32537.85;2523.0;1;57;21;24930.3
2352;60;49440;10660.14;4798.38;5861.76;38061.12;824.0;1;29;70;45021.6
19;12;30276;5444.83;6072.41;-627.58;25540.31;2523.0;1;57;21;15854.0
67;24;165960;21419.52;12217.03;9202.49;39662.33;6915.0;1;51;16;23703.8
5794;60;123600;8352.49;6600.23;1752.26;36850.3;2060.0;0;28;70;15505.6
8411;60;220620;7797.9;5391.49;2406.41;39131.21;3677.0;1;52;20;26428.9
4462;24;66480;9509.77;10120.0;-610.23;24559.2;2770.0;0;60;73;34891.2
7614;48;320592;21427.02;11673.92;9753.1;52640.12;6679.0;1;25;62;69148.6
3608;36;161496;6952.99;5089.22;1863.77;27987.07;4486.0;0;24;72;29371.5
940;60;284280;20542.08;12860.77;7681.32;60224.05;4738.0;1;37;37;94617.3
8547;36;173016;13347.21;10304.26;3042.95;53504.87;4806.0;1;51;14;88331.6
5422;60;368880;17305.64;8445.54;8860.1;59162.92;6148.0;0;21;66;105727.0
9645;36;176148;14229.27;17520.0;-3290.73;35249.7;4893.0;1;32;38;53592.6
9006;48;186384;12602.88;10623.04;1979.84;54327.51;3883.0;0;37;40;21033.8
2572;48;360000;19628.39;15637.67;3990.72;44422.18;7500.0;1;23;64;64765.2
1766;60;30060;11177.06;3370.9;7806.16;40207.72;501.0;0;44;28;48523.3
2322;24;46320;12720.48;5652.43;7068.05;40802.78;1930.0;0;17;33;26652.7
1698;36;141948;8654.97;5300.0;3354.97;25584.85;3943.0;1;45;68;47239.7
10001;36;19044;8705.65;5301.89;3403.76;35814.81;529.0;1;22;24;50167.6
8680;36;85716;6202.35;8366.67;-2164.32;26158.88;2381.0;0;58;17;36516.9
8127;24;155880;13622.65;8665.13;4957.52;54522.16;6495.0;1;27;37;44564.6
5541;48;32640;3976.51;2052.28;1924.23;25009.9;680.0;0;53;43;18800.0
2268;36;20196;12909.77;7215.74;5694.04;47381.89;561.0;0;25;1;65684.6
3679;48;444864;8627.9;5485.72;3142.18;31698.15;9268.0;0;32;64;41743.9
5033;12;11400;3942.78;1475.45;2467.33;25983.04;950.0;1;16;54;27820.2
6985;36;96768;13669.44;11220.64;2448.8;44663.75;2688.0;1;28;38;37396.4
9790;48;133968;18668.17;6040.95;12627.21;49590.62;2791.0;0;53;52;34729.5
846;24;187104;14777.52;15116.7;-339.19;74128.52;7796.0;1;19;72;133377.7
1886;36;162468;16823.25;11530.0;5293.25;61076.86;4513.0;1;38;32;74638.8
2580;60;89340;6194.58;3169.62;3024.96;38854.18;1489.0;1;24;60;41522.6
9928;60;89340;6194.85;3122.47;3072.38;39391.58;1489.0;1;24;60;42227.6
4994;36;258444;6129.34;6071.43;57.91;37356.67;7179.0;0;30;1;53892.1
7184;24;155640;11604.5;5565.08;6039.41;32953.46;6485.0;1;53;5;40494.6
6358;48;270384;18055.66;11139.46;6916.21;37758.37;5633.0;0;34;3;57835.1
11359;12;54024;14626.64;8093.62;6533.02;38374.18;4502.0;0;28;61;25697.2
5593;12;44376;16193.73;13789.9;2403.83;37207.16;3698.0;0;34;15;68241.5
6289;48;85632;14407.88;11976.96;2430.92;56676.98;1784.0;1;47;64;99938.7
11054;60;148920;8817.89;5104.03;3713.86;31696.63;2482.0;0;19;59;15278.6
544;24;91152;12425.07;7960.44;4464.63;39466.35;3798.0;0;53;32;39378.8
4851;24;141648;8222.4;7692.86;529.54;38250.87;5902.0;0;44;52;88710.1
1583;48;388512;8353.09;5741.33;2611.76;20786.91;8094.0;1;27;69;38697.3
4650;60;402000;2989.61;1955.91;1033.7;18869.19;6700.0;0;16;4;17232.1
3084;36;253512;9872.88;8868.75;1004.13;26944.19;7042.0;1;51;59;13318.4
2143;36;71460;10706.75;8184.15;2522.6;45387.56;1985.0;1;16;1;49648.9
9199;12;29448;9508.31;4720.0;4788.31;24905.0;2454.0;0;48;72;43790.6
2994;36;48744;11242.78;6130.0;5112.78;48007.82;1354.0;1;32;77;62891.3
6397;60;181020;9757.24;6100.98;3656.26;29208.82;3017.0;1;30;48;45526.0
10762;36;68832;9949.63;6563.28;3386.35;34092.65;1912.0;0;37;1;51540.7
7136;36;74124;9529.43;5255.21;4274.22;46843.53;2059.0;1;57;12;25658.0
8533;48;174048;11485.68;11694.3;-208.62;56111.88;3626.0;1;44;47;54140.4
7926;24;84120;15313.69;12410.83;2902.85;67892.38;3505.0;1;46;69;45528.9
10019;36;194940;11823.41;8716.22;3107.19;41565.35;5415.0;0;31;8;34212.3
4476;24;15192;7619.31;3481.39;4137.92;25941.69;633.0;1;23;24;17351.9
9814;12;96168;6192.35;8466.96;-2274.61;44350.18;8014.0;1;24;64;3609.3
2236;36;139464;5296.15;7514.29;-2218.14;26804.3;3874.0;0;38;73;41662.8
10436;36;54396;4101.1;2257.84;1843.27;25558.86;1511.0;0;57;60;36208.8
11186;60;392460;20335.32;11635.11;8700.21;44854.12;6541.0;1;15;12;53259.7
2106;12;101520;6286.65;3636.58;2650.07;23809.89;8460.0;1;19;1;16720.8
3230;36;77184;9901.44;9719.91;181.52;44671.28;2144.0;1;41;1;22446.0
9024;48;70656;4664.09;4568.92;95.17;34385.06;1472.0;0;44;1;22476.1
4585;48;64656;6800.06;3180.0;3620.06;25590.04;1347.0;0;49;27;44749.0
1862;60;396120;21494.09;13788.07;7706.02;50908.81;6602.0;1;46;19;88610.1
8039;24;93600;9328.35;9268.7;59.65;44027.11;3900.0;0;24;9;26235.8
6688;36;22968;4325.01;720.0;3605.01;22777.22;638.0;1;46;16;38831.0
501;60;262980;7660.38;4895.78;2764.59;40424.82;4383.0;1;30;13;76081.3
7795;60;372120;16531.71;11255.12;5276.59;62650.77;6202.0;0;51;64;46580.5
9422;12;86184;24823.09;14369.63;10453.47;68099.36;7182.0;1;55;70;43157.5
2062;12;86184;24823.3;14434.21;10389.09;67125.79;7182.0;1;55;70;39660.8
4447;36;192744;15004.25;12982.81;2021.43;55094.7;5354.0;0;32;62;27799.1
3754;24;68544;14131.44;10415.45;3715.99;34277.8;2856.0;0;20;37;23729.8
132;12;88440;14826.76;12756.93;2069.83;67475.25;7370.0;1;51;40;79007.6
5001;24;110112;18304.26;12886.38;5417.88;71778.7;4588.0;0;33;53;135658.1
6434;24;110136;9013.48;6710.83;2302.65;43769.13;4589.0;1;38;1;40746.5
5263;60;276300;3336.53;2174.25;1162.28;24864.14;4605.0;0;20;64;27578.1
4948;60;359760;6870.64;3630.41;3240.22;24769.51;5996.0;0;17;43;39959.4
3115;60;321180;16563.32;14268.73;2294.59;32124.09;5353.0;0;60;14;37183.5
9548;48;46176;8771.33;6595.17;2176.16;27787.05;962.0;0;30;62;38725.1
10297;48;421008;10644.61;7739.46;2905.15;30848.29;8771.0;0;43;14;31168.0
7859;12;72120;19514.24;11280.12;8234.11;76941.88;6010.0;1;44;52;98631.7
