account_id;duration;amount;gender;client_age;district_id;district_average_salary;district_unemployment_rate;enterpreneur_ratio
8321;60;89040;1;24;77;8909;5.56;0.113
5256;36;193968;0;21;72;8994;4.79;0.11
813;12;24312;1;38;16;8427;1.54;0.107
2933;60;272520;0;54;10;10124;0.54;0.141
8173;12;80340;1;18;1;12541;0.43;0.167
9833;12;97632;1;25;21;9104;2.07;0.123
7769;48;196080;0;35;23;8624;2.66;0.102
6473;12;76908;1;48;4;9753;5.05;0.109
7454;48;63312;1;38;31;8930;4.2;0.108
6930;24;25944;1;34;41;9832;4.48;0.114
173;12;104808;0;54;66;8512;4.12;0.102
8051;48;208320;1;26;31;8930;4.2;0.108
10439;24;151560;0;41;66;8512;4.12;0.102
9337;24;52128;1;34;11;9622;0.59;0.154
4576;36;300204;0;30;57;8720;4.5;0.116
8027;12;77640;0;26;27;8561;1.29;0.11
5927;48;87216;0;30;15;9045;3.6;0.124
6273;24;87360;0;31;38;8965;8.23;0.104
11065;48;69360;0;52;46;8369;2.31;0.117
8558;60;288360;0;58;1;12541;0.43;0.167
5442;24;174744;1;15;5;9307;4.43;0.118
1811;60;239460;1;51;68;9893;4.72;0.096
7844;24;91584;1;42;33;8705;7.61;0.116
4260;60;244560;1;26;58;8757;3.95;0.096
3354;12;4980;1;41;63;8288;4.52;0.11
2762;24;111384;0;27;11;9622;0.59;0.154
6051;36;276660;0;45;56;8772;4.98;0.126
9265;12;39576;1;14;32;9272;3.22;0.118
5228;24;173808;1;37;77;8909;5.56;0.113
2824;60;50460;1;46;11;9622;0.59;0.154
426;60;252060;1;28;60;8441;4.48;0.115
4937;24;143904;0;43;50;8187;5.45;0.094
790;48;208128;0;42;54;9897;1.96;0.14
10911;36;131292;0;40;1;12541;0.43;0.167
8129;36;74736;0;28;45;8390;2.89;0.132
2176;36;299088;1;27;67;8110;6.55;0.109
9093;60;189300;0;40;58;8757;3.95;0.096
5215;12;14628;1;45;55;8743;2.43;0.111
9403;36;120888;1;50;1;12541;0.43;0.167
9104;48;172080;1;37;10;10124;0.54;0.141
5120;48;323472;1;53;1;12541;0.43;0.167
8519;12;74688;1;49;23;8624;2.66;0.102
10788;12;45768;1;17;72;8994;4.79;0.11
8260;36;224604;0;18;31;8930;4.2;0.108
4259;24;79632;1;35;66;8512;4.12;0.102
10105;24;121896;0;29;55;8743;2.43;0.111
3050;12;82896;0;22;49;8208;2.26;0.155
3674;12;23628;0;40;38;8965;8.23;0.104
5481;48;209184;0;41;1;12541;0.43;0.167
9307;12;41904;0;20;70;10177;7.75;0.081
4427;12;87816;0;33;1;12541;0.43;0.167
3834;12;23052;1;53;54;9897;1.96;0.14
7824;24;189696;1;24;60;8441;4.48;0.115
8566;36;230220;1;51;74;10673;5.44;0.1
7965;12;71460;0;49;55;8743;2.43;0.111
5952;24;141240;0;32;50;8187;5.45;0.094
6040;24;11736;0;56;1;12541;0.43;0.167
4448;36;192744;1;23;60;8441;4.48;0.115
8982;36;227880;1;38;64;9624;2.31;0.145
6363;12;17508;0;48;12;8754;4.31;0.137
1012;24;98184;1;49;65;8403;5.72;0.105
2167;24;170256;1;29;16;8427;1.54;0.107
5622;12;83016;0;15;57;8720;4.5;0.116
5991;48;61056;1;37;57;8720;4.5;0.116
290;48;123696;0;54;56;8772;4.98;0.126
6148;24;59760;0;35;74;10673;5.44;0.1
7133;36;48672;1;46;55;8743;2.43;0.111
8041;36;140400;0;53;74;10673;5.44;0.1
1106;24;192552;1;30;20;8547;3.64;0.12
1527;36;164052;1;19;31;8930;4.2;0.108
1978;36;205200;1;31;1;12541;0.43;0.167
4337;24;51408;0;45;29;8843;3.6;0.113
2345;60;199680;0;45;52;8363;3.49;0.108
10451;60;482940;1;18;1;12541;0.43;0.167
6425;12;36684;1;16;70;10177;7.75;0.081
6226;60;398640;1;34;74;10673;5.44;0.1
344;60;100980;0;29;54;9897;1.96;0.14
2962;12;31248;1;55;1;12541;0.43;0.167
10738;36;115992;0;57;31;8930;4.2;0.108
3747;12;76380;1;37;1;12541;0.43;0.167
7523;36;288468;1;36;63;8288;4.52;0.11
3166;48;177744;0;22;59;8444;3.47;0.106
6118;36;270648;0;57;1;12541;0.43;0.167
816;24;48624;0;33;40;9317;7.07;0.097
9640;24;76416;0;57;1;12541;0.43;0.167
6715;60;137880;0;31;72;8994;4.79;0.11
2245;48;347952;1;30;29;8843;3.6;0.113
7857;12;68112;1;17;35;8867;1.21;0.13
2419;12;95808;0;54;43;9425;2.5;0.125
7819;48;20832;0;46;38;8965;8.23;0.104
3678;60;316140;0;26;1;12541;0.43;0.167
6472;12;43164;1;19;61;8814;5.74;0.107
4413;48;221280;0;26;74;10673;5.44;0.1
9750;48;151728;0;18;74;10673;5.44;0.1
6353;60;79920;0;41;26;10787;3.09;0.131
817;60;538500;0;34;5;9307;4.43;0.118
4414;24;97224;1;43;17;8114;2.62;0.119
6030;24;28248;1;25;47;9538;1.81;0.111
11021;24;168984;0;18;1;12541;0.43;0.167
8564;24;76680;0;46;68;9893;4.72;0.096
9869;60;331560;0;14;2;8507;1.85;0.132
5700;60;103680;0;23;42;8388;2.94;0.087
1247;48;99696;1;23;65;8403;5.72;0.105
8316;24;134784;1;54;70;10177;7.75;0.081
3064;12;15420;1;29;1;12541;0.43;0.167
7607;24;31728;0;44;1;12541;0.43;0.167
2228;48;185952;0;50;34;9675;7.68;0.1
2361;36;156672;1;38;28;8594;2.01;0.112
3752;12;18564;1;32;1;12541;0.43;0.167
4079;48;158976;0;56;52;8363;3.49;0.108
8625;24;47304;0;23;64;9624;2.31;0.145
9591;24;104712;0;50;74;10673;5.44;0.1
9828;24;126600;0;56;47;9538;1.81;0.111
1993;12;68400;1;18;68;9893;4.72;0.096
5628;60;225420;1;46;61;8814;5.74;0.107
1762;36;248148;1;54;28;8594;2.01;0.112
347;24;187224;0;47;1;12541;0.43;0.167
9472;12;36396;0;23;76;8369;5.88;0.107
960;60;189060;1;36;4;9753;5.05;0.109
1256;36;71064;1;48;38;8965;8.23;0.104
854;48;87216;1;41;1;12541;0.43;0.167
3629;60;158760;0;17;48;9060;2.44;0.124
8377;60;417060;1;33;29;8843;3.6;0.113
7190;60;63360;0;39;49;8208;2.26;0.155
8159;24;29784;1;25;26;10787;3.09;0.131
9656;24;139536;1;53;61;8814;5.74;0.107
8489;36;265320;1;46;51;8541;2.97;0.131
10630;24;198240;0;39;41;9832;4.48;0.114
10440;60;60000;0;48;45;8390;2.89;0.132
4774;48;465072;0;47;66;8512;4.12;0.102
5650;24;98592;1;31;10;10124;0.54;0.141
5632;60;285600;1;14;5;9307;4.43;0.118
3489;24;44088;1;44;9;8899;3.97;0.149
4580;12;20220;1;22;9;8899;3.97;0.149
4727;24;107640;1;35;2;8507;1.85;0.132
4825;12;21396;0;26;15;9045;3.6;0.124
8776;48;33984;0;23;64;9624;2.31;0.145
1375;24;45336;0;38;19;8402;3.98;0.12
8492;60;85860;1;39;2;8507;1.85;0.132
9493;48;188688;1;30;64;9624;2.31;0.145
915;48;309552;0;60;72;8994;4.79;0.11
9897;12;36168;0;34;1;12541;0.43;0.167
10942;60;314520;1;39;44;8254;3.76;0.097
7861;36;21852;0;40;34;9675;7.68;0.1
8405;60;266220;1;30;20;8547;3.64;0.12
10093;36;231696;0;22;1;12541;0.43;0.167
10663;36;260028;0;18;11;9622;0.59;0.154
11349;60;419880;1;49;1;12541;0.43;0.167
6738;12;37908;1;19;62;8544;1.86;0.109
4423;36;73836;1;28;39;10446;9.4;0.09
7546;12;41952;0;22;43;9425;2.5;0.125
2343;24;99336;1;15;68;9893;4.72;0.096
6609;36;60156;0;19;16;8427;1.54;0.107
2218;60;182040;1;44;19;8402;3.98;0.12
9627;48;244368;0;25;65;8403;5.72;0.105
9731;36;113796;0;24;54;9897;1.96;0.14
789;48;73056;0;24;39;10446;9.4;0.09
4081;24;137904;0;27;11;9622;0.59;0.154
5774;24;31176;0;27;1;12541;0.43;0.167
11042;36;217152;0;21;72;8994;4.79;0.11
6924;48;194880;0;15;74;10673;5.44;0.1
7765;12;27984;0;46;52;8363;3.49;0.108
2227;24;92976;1;25;31;8930;4.2;0.108
9583;24;104712;1;25;31;8930;4.2;0.108
7606;60;191880;0;46;21;9104;2.07;0.123
5742;48;232560;1;25;74;10673;5.44;0.1
1011;60;204000;0;51;45;8390;2.89;0.132
8899;60;125340;0;51;1;12541;0.43;0.167
7562;48;309600;0;20;72;8994;4.79;0.11
7815;24;189696;0;50;19;8402;3.98;0.12
4503;48;135360;0;20;50;8187;5.45;0.094
4907;48;98832;1;25;42;8388;2.94;0.087
5126;48;20352;1;47;58;8757;3.95;0.096
2496;60;165120;1;45;51;8541;2.97;0.131
11138;24;89880;0;32;70;10177;7.75;0.081
4995;36;128988;0;56;20;8547;3.64;0.12
3804;12;63252;1;46;7;9920;2.87;0.13
5066;24;61656;1;42;13;8598;3.26;0.123
6400;24;72408;1;37;31;8930;4.2;0.108
10884;36;113544;0;53;65;8403;5.72;0.105
8092;60;56100;0;37;54;9897;1.96;0.14
5735;60;290700;1;36;52;8363;3.49;0.108
3112;48;123216;1;18;38;8965;8.23;0.104
2912;60;380160;0;46;74;10673;5.44;0.1
4852;36;213300;0;31;47;9538;1.81;0.111
8327;48;247728;0;16;1;12541;0.43;0.167
1772;36;202788;1;42;31;8930;4.2;0.108
10728;48;154656;0;39;71;8678;5.57;0.102
9017;48;100224;1;39;70;10177;7.75;0.081
5574;12;44628;0;52;13;8598;3.26;0.123
808;48;215616;0;39;69;8173;7.01;0.124
2456;48;200976;0;41;65;8403;5.72;0.105
3037;36;277884;1;15;44;8254;3.76;0.097
1967;48;249312;0;40;26;10787;3.09;0.131
5213;48;320976;0;59;1;12541;0.43;0.167
7418;12;30276;1;57;21;9104;2.07;0.123
2352;60;49440;1;29;70;10177;7.75;0.081
19;12;30276;1;57;21;9104;2.07;0.123
67;24;165960;1;51;16;8427;1.54;0.107
5794;60;123600;0;28;70;10177;7.75;0.081
8411;60;220620;1;52;20;8547;3.64;0.12
4462;24;66480;0;60;73;8746;3.74;0.09
7614;48;320592;1;25;62;8544;1.86;0.109
3608;36;161496;0;24;72;8994;4.79;0.11
940;60;284280;1;37;37;9065;5.39;0.123
8547;36;173016;1;51;14;10045;1.71;0.135
5422;60;368880;0;21;66;8512;4.12;0.102
9645;36;176148;1;32;38;8965;8.23;0.104
9006;48;186384;0;37;40;9317;7.07;0.097
2572;48;360000;1;23;64;9624;2.31;0.145
1766;60;30060;0;44;28;8594;2.01;0.112
2322;24;46320;0;17;33;8705;7.61;0.116
1698;36;141948;1;45;68;9893;4.72;0.096
10001;36;19044;1;22;24;8991;2.01;0.128
8680;36;85716;0;58;17;8114;2.62;0.119
8127;24;155880;1;27;37;9065;5.39;0.123
5541;48;32640;0;53;43;9425;2.5;0.125
2268;36;20196;0;25;1;12541;0.43;0.167
3679;48;444864;0;32;64;9624;2.31;0.145
5033;12;11400;1;16;54;9897;1.96;0.14
6985;36;96768;1;28;38;8965;8.23;0.104
9790;48;133968;0;53;52;8363;3.49;0.108
846;24;187104;1;19;72;8994;4.79;0.11
1886;36;162468;1;38;32;9272;3.22;0.118
2580;60;89340;1;24;60;8441;4.48;0.115
9928;60;89340;1;24;60;8441;4.48;0.115
4994;36;258444;0;30;1;12541;0.43;0.167
7184;24;155640;1;53;5;9307;4.43;0.118
6358;48;270384;0;34;3;8980;2.21;0.111
11359;12;54024;0;28;61;8814;5.74;0.107
5593;12;44376;0;34;15;9045;3.6;0.124
6289;48;85632;1;47;64;9624;2.31;0.145
11054;60;148920;0;19;59;8444;3.47;0.106
544;24;91152;0;53;32;9272;3.22;0.118
4851;24;141648;0;44;52;8363;3.49;0.108
1583;48;388512;1;27;69;8173;7.01;0.124
4650;60;402000;0;16;4;9753;5.05;0.109
3084;36;253512;1;51;59;8444;3.47;0.106
2143;36;71460;1;16;1;12541;0.43;0.167
9199;12;29448;0;48;72;8994;4.79;0.11
2994;36;48744;1;32;77;8909;5.56;0.113
6397;60;181020;1;30;48;9060;2.44;0.124
10762;36;68832;0;37;1;12541;0.43;0.167
7136;36;74124;1;57;12;8754;4.31;0.137
8533;48;174048;1;44;47;9538;1.81;0.111
7926;24;84120;1;46;69;8173;7.01;0.124
10019;36;194940;0;31;8;11277;1.44;0.127
4476;24;15192;1;23;24;8991;2.01;0.128
9814;12;96168;1;24;64;9624;2.31;0.145
2236;36;139464;0;38;73;8746;3.74;0.09
10436;36;54396;0;57;60;8441;4.48;0.115
11186;60;392460;1;15;12;8754;4.31;0.137
2106;12;101520;1;19;1;12541;0.43;0.167
3230;36;77184;1;41;1;12541;0.43;0.167
9024;48;70656;0;44;1;12541;0.43;0.167
4585;48;64656;0;49;27;8561;1.29;0.11
1862;60;396120;1;46;19;8402;3.98;0.12
8039;24;93600;0;24;9;8899;3.97;0.149
6688;36;22968;1;46;16;8427;1.54;0.107
501;60;262980;1;30;13;8598;3.26;0.123
7795;60;372120;0;51;64;9624;2.31;0.145
9422;12;86184;1;55;70;10177;7.75;0.081
2062;12;86184;1;55;70;10177;7.75;0.081
4447;36;192744;0;32;62;8544;1.86;0.109
3754;24;68544;0;20;37;9065;5.39;0.123
132;12;88440;1;51;40;9317;7.07;0.097
5001;24;110112;0;33;53;8240;3.56;0.099
6434;24;110136;1;38;1;12541;0.43;0.167
5263;60;276300;0;20;64;9624;2.31;0.145
4948;60;359760;0;17;43;9425;2.5;0.125
3115;60;321180;0;60;14;10045;1.71;0.135
9548;48;46176;0;30;62;8544;1.86;0.109
10297;48;421008;0;43;14;10045;1.71;0.135
7859;12;72120;1;44;52;8363;3.49;0.108
9510;36;228276;0;35;1;12541;0.43;0.167
1250;48;182640;1;54;62;8544;1.86;0.109
2153;12;61560;0;53;31;8930;4.2;0.108
4981;48;179328;0;23;54;9897;1.96;0.14
3021;48;155616;1;37;10;10124;0.54;0.141
10520;60;417600;0;26;55;8743;2.43;0.111
10411;24;123408;0;32;39;10446;9.4;0.09
9030;48;155616;1;25;72;8994;4.79;0.11
3189;60;222180;0;57;29;8843;3.6;0.113
8972;48;45024;1;39;70;10177;7.75;0.081
10963;36;115812;0;43;16;8427;1.54;0.107
11362;24;129408;1;34;67;8110;6.55;0.109
